Delivery Method Code,Delivery Method Name,Scope Item Code,Trigger Type,Trigger Description,Default Method,Active,Notes
DM-FOUND-SOLAR-STD,Standard foundation install,SI-FOUND-SOLAR,default,Base condition foundation path,True,True,
DM-FOUND-FENCE-STD,Standard foundation install,SI-FOUND-FENCE,default,Base condition foundation path,True,True,
DM-FOUND-GEN-STD,Standard foundation install,SI-FOUND-GEN,default,Base condition foundation path,True,True,
DM-FOUND-SLABPIER-STD,Standard foundation install,SI-FOUND-SLABPIER,default,Base condition foundation path,True,True,
DM-SLAB-GEN-STD,Standard slab/base install,SI-SLAB-GEN,default,Base slab/plinth/step path,True,True,
DM-SLAB-PLINTH-STD,Standard slab/base install,SI-SLAB-PLINTH,default,Base slab/plinth/step path,True,True,
DM-SLAB-STEP-STD,Standard slab/base install,SI-SLAB-STEP,default,Base slab/plinth/step path,True,True,
DM-SLAB-EDGE-STD,Standard slab/base install,SI-SLAB-EDGE,default,Base slab/plinth/step path,True,True,
DM-EW-LOCAL,Local excavation path,SI-EW-LOCAL,default,Earthworks path,True,True,
DM-EW-BULK,Bulk excavation path,SI-EW-BULK,default,Earthworks path,True,True,
DM-EW-SITEFILL,Local excavation path,SI-EW-SITEFILL,default,Earthworks path,True,True,
DM-EW-IMPFILL,Local excavation path,SI-EW-IMPFILL,default,Earthworks path,True,True,
DM-EW-SELFILL,Local excavation path,SI-EW-SELFILL,default,Earthworks path,True,True,
DM-EW-CRUSHBF,Local excavation path,SI-EW-CRUSHBF,default,Earthworks path,True,True,
DM-DRAIN-PVC-STD,Standard drainage install,SI-DRAIN-PVC,default,Drainage/minor civils path,True,True,
DM-DRAIN-RCP-STD,Standard drainage install,SI-DRAIN-RCP,default,Drainage/minor civils path,True,True,
DM-DRAIN-SWAL-STD,Standard drainage install,SI-DRAIN-SWAL,default,Drainage/minor civils path,True,True,
DM-DRAIN-PIT-STD,Standard drainage install,SI-DRAIN-PIT,default,Drainage/minor civils path,True,True,
DM-DRAIN-KG-STD,Standard drainage install,SI-DRAIN-KG,default,Drainage/minor civils path,True,True,
DM-DRAIN-LKB-STD,Standard drainage install,SI-DRAIN-LKB,default,Drainage/minor civils path,True,True,
DM-DRAIN-XS-STD,Standard drainage install,SI-DRAIN-XS,default,Drainage/minor civils path,True,True,
DM-DRAIN-XD-STD,Standard drainage install,SI-DRAIN-XD,default,Drainage/minor civils path,True,True,
DM-DRAIN-RWB-STD,Standard drainage install,SI-DRAIN-RWB,default,Drainage/minor civils path,True,True,
DM-DRAIN-RWC-STD,Standard drainage install,SI-DRAIN-RWC,default,Drainage/minor civils path,True,True,
DM-DRAIN-RWT-STD,Standard drainage install,SI-DRAIN-RWT,default,Drainage/minor civils path,True,True,
DM-FENCE-PERSG,New install,SI-FENCE-PERSG,default,Fence path,True,True,
DM-FENCE-VEHG,New install,SI-FENCE-VEHG,default,Fence path,True,True,
DM-FENCE-REM,Removal path,SI-FENCE-REM,default,Fence path,True,True,
DM-FENCE-RELOC,Removal path,SI-FENCE-RELOC,default,Fence path,True,True,
DM-FENCE-STKS,New install,SI-FENCE-STKS,default,Fence path,True,True,
DM-FENCE-STKD,New install,SI-FENCE-STKD,default,Fence path,True,True,
DM-FENCE-STKREM,Removal path,SI-FENCE-STKREM,default,Fence path,True,True,
DM-PRELIM-SITEVIS-STD,Standard support path,SI-PRELIM-SITEVIS,default,Support activity path,True,True,
DM-PRELIM-CONSTR-STD,Standard support path,SI-PRELIM-CONSTR,default,Support activity path,True,True,
DM-PRELIM-SETOUT-STD,Standard support path,SI-PRELIM-SETOUT,default,Support activity path,True,True,
DM-PRELIM-ECO-STD,Standard support path,SI-PRELIM-ECO,default,Support activity path,True,True,
DM-PRELIM-DILAP-STD,Standard support path,SI-PRELIM-DILAP,default,Support activity path,True,True,
DM-PRELIM-INDUCT-STD,Standard support path,SI-PRELIM-INDUCT,default,Support activity path,True,True,
DM-PRELIM-WASTE-STD,Standard support path,SI-PRELIM-WASTE,default,Support activity path,True,True,
DM-PRELIM-PWRAUD-STD,Standard support path,SI-PRELIM-PWRAUD,default,Support activity path,True,True,
DM-PRELIM-SUPER-STD,Standard support path,SI-PRELIM-SUPER,default,Support activity path,True,True,
DM-PRELIM-ENGFIN-STD,Standard support path,SI-PRELIM-ENGFIN,default,Support activity path,True,True,
DM-ENV-TC-STD,Standard overlay,SI-ENV-TC,default,Overlay path,True,True,
DM-ENV-SEDF-STD,Standard overlay,SI-ENV-SEDF,default,Overlay path,True,True,
DM-ENV-TREE-STD,Standard overlay,SI-ENV-TREE,default,Overlay path,True,True,
DM-ENV-DUST-STD,Standard overlay,SI-ENV-DUST,default,Overlay path,True,True,
DM-ENV-MUD-STD,Standard overlay,SI-ENV-MUD,default,Overlay path,True,True,
DM-GEN-DEP-BH-METRO,Metro deployment,SI-GEN-DEP-BH,default,Business-hours metro path,True,True,
DM-GEN-DEP-BH-REG,Regional deployment,SI-GEN-DEP-BH,question answer,Outside metro zone,False,True,
DM-GEN-DEP-AH-STD,Standard support path,SI-GEN-DEP-AH,default,Generator support path,True,True,
DM-GEN-HIRE-DAY-STD,Standard support path,SI-GEN-HIRE-DAY,default,Generator support path,True,True,
DM-GEN-HIRE-WK-STD,Standard support path,SI-GEN-HIRE-WK,default,Generator support path,True,True,
DM-GEN-FUEL-STD,Standard support path,SI-GEN-FUEL,default,Generator support path,True,True,
DM-GEN-SWITCH-STD,Standard support path,SI-GEN-SWITCH,default,Generator support path,True,True,
DM-RAIL-TRACK-STD,Standard overlay,SI-RAIL-TRACK,default,Overlay path,True,True,
