Work Step Code,Work Step Name,Scope Item Code,Delivery Method Code,Cost Component Code,Work Step Sequence,Included by Default,Notes
WS-PIT-NEW-PRESTART-03__SI-PIT-NEW__DM-PIT-LRG,Set out work location,SI-PIT-NEW,DM-PIT-LRG,CC-PRESTART,30,Yes,
WS-PIT-NEW-BREAKOUT-01__SI-PIT-NEW__DM-PIT-LRG,Break out existing surface,SI-PIT-NEW,DM-PIT-LRG,CC-BREAKOUT,10,Conditional,
WS-PIT-NEW-BREAKOUT-02__SI-PIT-NEW__DM-PIT-LRG,Remove breakout material,SI-PIT-NEW,DM-PIT-LRG,CC-BREAKOUT,20,Conditional,
WS-PIT-NEW-EXC-01__SI-PIT-NEW__DM-PIT-LRG,Excavate work area,SI-PIT-NEW,DM-PIT-LRG,CC-EXC,10,Yes,
WS-PIT-NEW-EXC-02__SI-PIT-NEW__DM-PIT-LRG,Trim formation / sidewalls / base,SI-PIT-NEW,DM-PIT-LRG,CC-EXC,20,Yes,
WS-PIT-NEW-SPOIL-01__SI-PIT-NEW__DM-PIT-LRG,Classify spoil,SI-PIT-NEW,DM-PIT-LRG,CC-SPOIL,10,Yes,
WS-PIT-NEW-SPOIL-02__SI-PIT-NEW__DM-PIT-LRG,Stockpile / haul / dispose spoil,SI-PIT-NEW,DM-PIT-LRG,CC-SPOIL,20,Yes,
WS-PIT-NEW-BEDDING-01__SI-PIT-NEW__DM-PIT-LRG,Place bedding / blinding / levelling layer,SI-PIT-NEW,DM-PIT-LRG,CC-BEDDING,10,Yes,
WS-PIT-NEW-INSTALL-01__SI-PIT-NEW__DM-PIT-LRG,Install main item,SI-PIT-NEW,DM-PIT-LRG,CC-INSTALL,10,Yes,large pit path
WS-PIT-NEW-OVERLAY-01,Apply overlay support activity,SI-PIT-NEW,DM-PIT-LRG,CC-OVERLAY,10,Conditional,
WS-PIT-NEW-TIEIN-01__SI-PIT-NEW__DM-PIT-LRG,Form tie-ins / penetrations / edges,SI-PIT-NEW,DM-PIT-LRG,CC-TIEIN,10,Conditional,
WS-PIT-NEW-BFILL-01__SI-PIT-NEW__DM-PIT-LRG,Backfill in lifts,SI-PIT-NEW,DM-PIT-LRG,CC-BFILL,10,Yes,
WS-PIT-NEW-BFILL-02__SI-PIT-NEW__DM-PIT-LRG,Compact backfill / placed material,SI-PIT-NEW,DM-PIT-LRG,CC-BFILL,20,Yes,
WS-PIT-NEW-REINSTATE-01__SI-PIT-NEW__DM-PIT-LRG,Reinstate local surface,SI-PIT-NEW,DM-PIT-LRG,CC-REINSTATE,10,Yes,
WS-PIT-NEW-QA-01__SI-PIT-NEW__DM-PIT-LRG,Capture QA records and as-builts,SI-PIT-NEW,DM-PIT-LRG,CC-QA,10,Yes,
WS-PIT-NEW-QA-02__SI-PIT-NEW__DM-PIT-LRG,Final inspection and closeout,SI-PIT-NEW,DM-PIT-LRG,CC-QA,20,Yes,
WS-PIT-TIE-PRESTART-01,Review drawings and records,SI-PIT-TIE,DM-PIT-TIE,CC-PRESTART,10,Yes,
WS-PIT-TIE-PRESTART-02,Confirm site constraints and controls,SI-PIT-TIE,DM-PIT-TIE,CC-PRESTART,20,Yes,
WS-PIT-TIE-PRESTART-03,Set out work location,SI-PIT-TIE,DM-PIT-TIE,CC-PRESTART,30,Yes,
WS-PIT-TIE-LOCATE-01,Mark out known and suspected services,SI-PIT-TIE,DM-PIT-TIE,CC-LOCATE,10,Yes,
WS-PIT-TIE-LOCATE-02,Correlate locator information,SI-PIT-TIE,DM-PIT-TIE,CC-LOCATE,20,Yes,
WS-PIT-TIE-PROVE-01,Undertake proving / potholing / NDD,SI-PIT-TIE,DM-PIT-TIE,CC-PROVE,10,Conditional,
WS-PIT-TIE-PROVE-02,Confirm asset location and depth,SI-PIT-TIE,DM-PIT-TIE,CC-PROVE,20,Conditional,
WS-PIT-TIE-PROTECT-01,Protect exposed assets,SI-PIT-TIE,DM-PIT-TIE,CC-PROTECT,10,Conditional,
WS-PIT-TIE-PROTECT-02,Support or barrier exposed assets,SI-PIT-TIE,DM-PIT-TIE,CC-PROTECT,20,Conditional,
WS-PIT-TIE-BREAKOUT-01,Break out existing surface,SI-PIT-TIE,DM-PIT-TIE,CC-BREAKOUT,10,Conditional,
WS-PIT-TIE-BREAKOUT-02,Remove breakout material,SI-PIT-TIE,DM-PIT-TIE,CC-BREAKOUT,20,Conditional,
WS-PIT-TIE-EXC-01,Excavate work area,SI-PIT-TIE,DM-PIT-TIE,CC-EXC,10,Yes,
WS-PIT-TIE-EXC-02,Trim formation / sidewalls / base,SI-PIT-TIE,DM-PIT-TIE,CC-EXC,20,Yes,
WS-PIT-TIE-SPOIL-01,Classify spoil,SI-PIT-TIE,DM-PIT-TIE,CC-SPOIL,10,Yes,
WS-PIT-TIE-SPOIL-02,Stockpile / haul / dispose spoil,SI-PIT-TIE,DM-PIT-TIE,CC-SPOIL,20,Yes,
WS-PIT-TIE-BEDDING-01,Place bedding / blinding / levelling layer,SI-PIT-TIE,DM-PIT-TIE,CC-BEDDING,10,Yes,
WS-PIT-TIE-INSTALL-01,Install main item,SI-PIT-TIE,DM-PIT-TIE,CC-INSTALL,10,Yes,
WS-PIT-TIE-TIEIN-01,Form tie-ins / penetrations / edges,SI-PIT-TIE,DM-PIT-TIE,CC-TIEIN,10,Conditional,
WS-PIT-TIE-BFILL-01,Backfill in lifts,SI-PIT-TIE,DM-PIT-TIE,CC-BFILL,10,Yes,
WS-PIT-TIE-BFILL-02,Compact backfill / placed material,SI-PIT-TIE,DM-PIT-TIE,CC-BFILL,20,Yes,
WS-PIT-TIE-MAKESAFE-01,Make temporary safe,SI-PIT-TIE,DM-PIT-TIE,CC-MAKESAFE,10,Conditional,
WS-PIT-TIE-REINSTATE-01,Reinstate local surface,SI-PIT-TIE,DM-PIT-TIE,CC-REINSTATE,10,Yes,
WS-PIT-TIE-QA-01,Capture QA records and as-builts,SI-PIT-TIE,DM-PIT-TIE,CC-QA,10,Yes,
WS-PIT-TIE-QA-02,Final inspection and closeout,SI-PIT-TIE,DM-PIT-TIE,CC-QA,20,Yes,
WS-PIT-REP-PRESTART-01,Review drawings and records,SI-PIT-REP,DM-PIT-REP,CC-PRESTART,10,Yes,
WS-PIT-REP-PRESTART-02,Confirm site constraints and controls,SI-PIT-REP,DM-PIT-REP,CC-PRESTART,20,Yes,
WS-PIT-REP-PRESTART-03,Set out work location,SI-PIT-REP,DM-PIT-REP,CC-PRESTART,30,Yes,
WS-PIT-REP-LOCATE-01,Mark out known and suspected services,SI-PIT-REP,DM-PIT-REP,CC-LOCATE,10,Yes,
WS-PIT-REP-LOCATE-02,Correlate locator information,SI-PIT-REP,DM-PIT-REP,CC-LOCATE,20,Yes,
WS-PIT-REP-PROVE-01,Undertake proving / potholing / NDD,SI-PIT-REP,DM-PIT-REP,CC-PROVE,10,Conditional,
WS-PIT-REP-PROVE-02,Confirm asset location and depth,SI-PIT-REP,DM-PIT-REP,CC-PROVE,20,Conditional,
WS-PIT-REP-PROTECT-01,Protect exposed assets,SI-PIT-REP,DM-PIT-REP,CC-PROTECT,10,Conditional,
WS-PIT-REP-PROTECT-02,Support or barrier exposed assets,SI-PIT-REP,DM-PIT-REP,CC-PROTECT,20,Conditional,
WS-PIT-REP-BREAKOUT-01,Break out existing surface,SI-PIT-REP,DM-PIT-REP,CC-BREAKOUT,10,Conditional,
WS-PIT-REP-BREAKOUT-02,Remove breakout material,SI-PIT-REP,DM-PIT-REP,CC-BREAKOUT,20,Conditional,
WS-PIT-REP-EXC-01,Excavate work area,SI-PIT-REP,DM-PIT-REP,CC-EXC,10,Yes,
WS-PIT-REP-EXC-02,Trim formation / sidewalls / base,SI-PIT-REP,DM-PIT-REP,CC-EXC,20,Yes,
WS-PIT-REP-SPOIL-01,Classify spoil,SI-PIT-REP,DM-PIT-REP,CC-SPOIL,10,Yes,
WS-PIT-REP-SPOIL-02,Stockpile / haul / dispose spoil,SI-PIT-REP,DM-PIT-REP,CC-SPOIL,20,Yes,
WS-PIT-REP-BEDDING-01,Place bedding / blinding / levelling layer,SI-PIT-REP,DM-PIT-REP,CC-BEDDING,10,Yes,
WS-PIT-REP-INSTALL-01,Install main item,SI-PIT-REP,DM-PIT-REP,CC-INSTALL,10,Yes,
WS-PIT-REP-TIEIN-01,Form tie-ins / penetrations / edges,SI-PIT-REP,DM-PIT-REP,CC-TIEIN,10,Conditional,
WS-PIT-REP-BFILL-01,Backfill in lifts,SI-PIT-REP,DM-PIT-REP,CC-BFILL,10,Yes,
WS-PIT-REP-BFILL-02,Compact backfill / placed material,SI-PIT-REP,DM-PIT-REP,CC-BFILL,20,Yes,
WS-PIT-REP-MAKESAFE-01,Make temporary safe,SI-PIT-REP,DM-PIT-REP,CC-MAKESAFE,10,Conditional,
WS-PIT-REP-REINSTATE-01,Reinstate local surface,SI-PIT-REP,DM-PIT-REP,CC-REINSTATE,10,Yes,
WS-PIT-REP-QA-01,Capture QA records and as-builts,SI-PIT-REP,DM-PIT-REP,CC-QA,10,Yes,
WS-PIT-REP-QA-02,Final inspection and closeout,SI-PIT-REP,DM-PIT-REP,CC-QA,20,Yes,
WS-FP-CONC-PRESTART-01,Review drawings and records,SI-FP-CONC,DM-FP-CONC-LD,CC-PRESTART,10,Yes,
WS-FP-CONC-PRESTART-02,Confirm site constraints and controls,SI-FP-CONC,DM-FP-CONC-LD,CC-PRESTART,20,Yes,
WS-FP-CONC-PRESTART-03,Set out work location,SI-FP-CONC,DM-FP-CONC-LD,CC-PRESTART,30,Yes,
WS-FP-CONC-BREAKOUT-01,Break out existing surface,SI-FP-CONC,DM-FP-CONC-LD,CC-BREAKOUT,10,Conditional,
WS-FP-CONC-BREAKOUT-02,Remove breakout material,SI-FP-CONC,DM-FP-CONC-LD,CC-BREAKOUT,20,Conditional,
WS-FP-CONC-LOCATE-01,Mark out known and suspected services,SI-FP-CONC,DM-FP-CONC-LD,CC-LOCATE,10,Conditional,
WS-FP-CONC-LOCATE-02,Correlate locator information,SI-FP-CONC,DM-FP-CONC-LD,CC-LOCATE,20,Conditional,
WS-FP-CONC-PROVE-01,Undertake proving / potholing / NDD,SI-FP-CONC,DM-FP-CONC-LD,CC-PROVE,10,Conditional,
WS-FP-CONC-PROVE-02,Confirm asset location and depth,SI-FP-CONC,DM-FP-CONC-LD,CC-PROVE,20,Conditional,
WS-FP-CONC-EXC-01,Excavate work area,SI-FP-CONC,DM-FP-CONC-LD,CC-EXC,10,Yes,
WS-FP-CONC-EXC-02,Trim formation / sidewalls / base,SI-FP-CONC,DM-FP-CONC-LD,CC-EXC,20,Yes,
WS-FP-CONC-SPOIL-01,Classify spoil,SI-FP-CONC,DM-FP-CONC-LD,CC-SPOIL,10,Yes,
WS-FP-CONC-SPOIL-02,Stockpile / haul / dispose spoil,SI-FP-CONC,DM-FP-CONC-LD,CC-SPOIL,20,Yes,
WS-FP-CONC-CAP-01,Install separator / geotextile,SI-FP-CONC,DM-FP-CONC-LD,CC-CAP,10,Conditional,
WS-FP-CONC-CAP-02,Place capping layer,SI-FP-CONC,DM-FP-CONC-LD,CC-CAP,20,Conditional,
WS-FP-CONC-SUBBASE-01,Place and compact subbase,SI-FP-CONC,DM-FP-CONC-LD,CC-SUBBASE,10,Yes,
WS-FP-CONC-REINF-01,Install reinforcement / mesh / cast-ins,SI-FP-CONC,DM-FP-CONC-LD,CC-REINF,10,Conditional,
WS-FP-CONC-CONC-01,Pour and finish concrete,SI-FP-CONC,DM-FP-CONC-LD,CC-CONC,10,Yes,
WS-FP-CONC-TIEIN-01,Form tie-ins / penetrations / edges,SI-FP-CONC,DM-FP-CONC-LD,CC-TIEIN,10,Conditional,
WS-FP-CONC-REINSTATE-01,Reinstate local surface,SI-FP-CONC,DM-FP-CONC-LD,CC-REINSTATE,10,Yes,
WS-FP-CONC-QA-01,Capture QA records and as-builts,SI-FP-CONC,DM-FP-CONC-LD,CC-QA,10,Yes,
WS-FP-CONC-QA-02,Final inspection and closeout,SI-FP-CONC,DM-FP-CONC-LD,CC-QA,20,Yes,
WS-FP-ASPH-PRESTART-01,Review drawings and records,SI-FP-ASPH,DM-FP-ASPH-LD,CC-PRESTART,10,Yes,
WS-FP-ASPH-PRESTART-02,Confirm site constraints and controls,SI-FP-ASPH,DM-FP-ASPH-LD,CC-PRESTART,20,Yes,
WS-FP-ASPH-PRESTART-03,Set out work location,SI-FP-ASPH,DM-FP-ASPH-LD,CC-PRESTART,30,Yes,
WS-FP-ASPH-BREAKOUT-01,Break out existing surface,SI-FP-ASPH,DM-FP-ASPH-LD,CC-BREAKOUT,10,Conditional,
WS-FP-ASPH-BREAKOUT-02,Remove breakout material,SI-FP-ASPH,DM-FP-ASPH-LD,CC-BREAKOUT,20,Conditional,
WS-FP-ASPH-LOCATE-01,Mark out known and suspected services,SI-FP-ASPH,DM-FP-ASPH-LD,CC-LOCATE,10,Conditional,
WS-FP-ASPH-LOCATE-02,Correlate locator information,SI-FP-ASPH,DM-FP-ASPH-LD,CC-LOCATE,20,Conditional,
WS-FP-ASPH-PROVE-01,Undertake proving / potholing / NDD,SI-FP-ASPH,DM-FP-ASPH-LD,CC-PROVE,10,Conditional,
WS-FP-ASPH-PROVE-02,Confirm asset location and depth,SI-FP-ASPH,DM-FP-ASPH-LD,CC-PROVE,20,Conditional,
WS-FP-ASPH-EXC-01,Excavate work area,SI-FP-ASPH,DM-FP-ASPH-LD,CC-EXC,10,Yes,
WS-FP-ASPH-EXC-02,Trim formation / sidewalls / base,SI-FP-ASPH,DM-FP-ASPH-LD,CC-EXC,20,Yes,
WS-FP-ASPH-SPOIL-01,Classify spoil,SI-FP-ASPH,DM-FP-ASPH-LD,CC-SPOIL,10,Yes,
WS-FP-ASPH-SPOIL-02,Stockpile / haul / dispose spoil,SI-FP-ASPH,DM-FP-ASPH-LD,CC-SPOIL,20,Yes,
WS-FP-ASPH-CAP-01,Install separator / geotextile,SI-FP-ASPH,DM-FP-ASPH-LD,CC-CAP,10,Conditional,
WS-FP-ASPH-CAP-02,Place capping layer,SI-FP-ASPH,DM-FP-ASPH-LD,CC-CAP,20,Conditional,
WS-FP-ASPH-SUBBASE-01,Place and compact subbase,SI-FP-ASPH,DM-FP-ASPH-LD,CC-SUBBASE,10,Yes,
WS-FP-ASPH-INSTALL-01,Install main item,SI-FP-ASPH,DM-FP-ASPH-LD,CC-INSTALL,10,Yes,asphalt or gravel finish layer
WS-FP-ASPH-TIEIN-01,Form tie-ins / penetrations / edges,SI-FP-ASPH,DM-FP-ASPH-LD,CC-TIEIN,10,Conditional,
WS-FP-ASPH-REINSTATE-01,Reinstate local surface,SI-FP-ASPH,DM-FP-ASPH-LD,CC-REINSTATE,10,Yes,
WS-FP-ASPH-QA-01,Capture QA records and as-builts,SI-FP-ASPH,DM-FP-ASPH-LD,CC-QA,10,Yes,
WS-FP-ASPH-QA-02,Final inspection and closeout,SI-FP-ASPH,DM-FP-ASPH-LD,CC-QA,20,Yes,
WS-FP-GRAV-PRESTART-01,Review drawings and records,SI-FP-GRAV,DM-FP-GRAV-LD,CC-PRESTART,10,Yes,
WS-FP-GRAV-PRESTART-02,Confirm site constraints and controls,SI-FP-GRAV,DM-FP-GRAV-LD,CC-PRESTART,20,Yes,
WS-FP-GRAV-PRESTART-03,Set out work location,SI-FP-GRAV,DM-FP-GRAV-LD,CC-PRESTART,30,Yes,
WS-FP-GRAV-BREAKOUT-01,Break out existing surface,SI-FP-GRAV,DM-FP-GRAV-LD,CC-BREAKOUT,10,Conditional,
WS-FP-GRAV-BREAKOUT-02,Remove breakout material,SI-FP-GRAV,DM-FP-GRAV-LD,CC-BREAKOUT,20,Conditional,
WS-FP-GRAV-LOCATE-01,Mark out known and suspected services,SI-FP-GRAV,DM-FP-GRAV-LD,CC-LOCATE,10,Conditional,
WS-FP-GRAV-LOCATE-02,Correlate locator information,SI-FP-GRAV,DM-FP-GRAV-LD,CC-LOCATE,20,Conditional,
WS-FP-GRAV-PROVE-01,Undertake proving / potholing / NDD,SI-FP-GRAV,DM-FP-GRAV-LD,CC-PROVE,10,Conditional,
WS-FP-GRAV-PROVE-02,Confirm asset location and depth,SI-FP-GRAV,DM-FP-GRAV-LD,CC-PROVE,20,Conditional,
WS-FP-GRAV-EXC-01,Excavate work area,SI-FP-GRAV,DM-FP-GRAV-LD,CC-EXC,10,Yes,
WS-FP-GRAV-EXC-02,Trim formation / sidewalls / base,SI-FP-GRAV,DM-FP-GRAV-LD,CC-EXC,20,Yes,
WS-FP-GRAV-SPOIL-01,Classify spoil,SI-FP-GRAV,DM-FP-GRAV-LD,CC-SPOIL,10,Yes,
WS-FP-GRAV-SPOIL-02,Stockpile / haul / dispose spoil,SI-FP-GRAV,DM-FP-GRAV-LD,CC-SPOIL,20,Yes,
WS-FP-GRAV-CAP-01,Install separator / geotextile,SI-FP-GRAV,DM-FP-GRAV-LD,CC-CAP,10,Conditional,
WS-FP-GRAV-CAP-02,Place capping layer,SI-FP-GRAV,DM-FP-GRAV-LD,CC-CAP,20,Conditional,
WS-FP-GRAV-SUBBASE-01,Place and compact subbase,SI-FP-GRAV,DM-FP-GRAV-LD,CC-SUBBASE,10,Yes,
WS-FP-GRAV-INSTALL-01,Install main item,SI-FP-GRAV,DM-FP-GRAV-LD,CC-INSTALL,10,Yes,asphalt or gravel finish layer
WS-FP-GRAV-TIEIN-01,Form tie-ins / penetrations / edges,SI-FP-GRAV,DM-FP-GRAV-LD,CC-TIEIN,10,Conditional,
WS-FP-GRAV-REINSTATE-01,Reinstate local surface,SI-FP-GRAV,DM-FP-GRAV-LD,CC-REINSTATE,10,Yes,
WS-FP-GRAV-QA-01,Capture QA records and as-builts,SI-FP-GRAV,DM-FP-GRAV-LD,CC-QA,10,Yes,
WS-FP-GRAV-QA-02,Final inspection and closeout,SI-FP-GRAV,DM-FP-GRAV-LD,CC-QA,20,Yes,
WS-DRV-CONC-PRESTART-01,Review drawings and records,SI-DRV-CONC,DM-DRV-CONC-LD,CC-PRESTART,10,Yes,
WS-DRV-CONC-PRESTART-02,Confirm site constraints and controls,SI-DRV-CONC,DM-DRV-CONC-LD,CC-PRESTART,20,Yes,
WS-DRV-CONC-PRESTART-03,Set out work location,SI-DRV-CONC,DM-DRV-CONC-LD,CC-PRESTART,30,Yes,
WS-DRV-CONC-BREAKOUT-01,Break out existing surface,SI-DRV-CONC,DM-DRV-CONC-LD,CC-BREAKOUT,10,Conditional,
WS-DRV-CONC-BREAKOUT-02,Remove breakout material,SI-DRV-CONC,DM-DRV-CONC-LD,CC-BREAKOUT,20,Conditional,
WS-DRV-CONC-LOCATE-01,Mark out known and suspected services,SI-DRV-CONC,DM-DRV-CONC-LD,CC-LOCATE,10,Conditional,
WS-DRV-CONC-LOCATE-02,Correlate locator information,SI-DRV-CONC,DM-DRV-CONC-LD,CC-LOCATE,20,Conditional,
WS-DRV-CONC-PROVE-01,Undertake proving / potholing / NDD,SI-DRV-CONC,DM-DRV-CONC-LD,CC-PROVE,10,Conditional,
WS-DRV-CONC-PROVE-02,Confirm asset location and depth,SI-DRV-CONC,DM-DRV-CONC-LD,CC-PROVE,20,Conditional,
WS-DRV-CONC-EXC-01,Excavate work area,SI-DRV-CONC,DM-DRV-CONC-LD,CC-EXC,10,Yes,
WS-DRV-CONC-EXC-02,Trim formation / sidewalls / base,SI-DRV-CONC,DM-DRV-CONC-LD,CC-EXC,20,Yes,
WS-DRV-CONC-SPOIL-01,Classify spoil,SI-DRV-CONC,DM-DRV-CONC-LD,CC-SPOIL,10,Yes,
WS-DRV-CONC-SPOIL-02,Stockpile / haul / dispose spoil,SI-DRV-CONC,DM-DRV-CONC-LD,CC-SPOIL,20,Yes,
WS-DRV-CONC-CAP-01,Install separator / geotextile,SI-DRV-CONC,DM-DRV-CONC-LD,CC-CAP,10,Conditional,
WS-DRV-CONC-CAP-02,Place capping layer,SI-DRV-CONC,DM-DRV-CONC-LD,CC-CAP,20,Conditional,
WS-DRV-CONC-SUBBASE-01,Place and compact subbase,SI-DRV-CONC,DM-DRV-CONC-LD,CC-SUBBASE,10,Yes,
WS-DRV-CONC-BASE-01,Place and compact basecourse,SI-DRV-CONC,DM-DRV-CONC-LD,CC-BASE,10,Yes,
WS-DRV-CONC-REINF-01,Install reinforcement / mesh / cast-ins,SI-DRV-CONC,DM-DRV-CONC-LD,CC-REINF,10,Conditional,
WS-DRV-CONC-CONC-01,Pour and finish concrete,SI-DRV-CONC,DM-DRV-CONC-LD,CC-CONC,10,Yes,
WS-DRV-CONC-TIEIN-01,Form tie-ins / penetrations / edges,SI-DRV-CONC,DM-DRV-CONC-LD,CC-TIEIN,10,Conditional,
WS-DRV-CONC-REINSTATE-01,Reinstate local surface,SI-DRV-CONC,DM-DRV-CONC-LD,CC-REINSTATE,10,Yes,
WS-DRV-CONC-QA-01,Capture QA records and as-builts,SI-DRV-CONC,DM-DRV-CONC-LD,CC-QA,10,Yes,
WS-DRV-CONC-QA-02,Final inspection and closeout,SI-DRV-CONC,DM-DRV-CONC-LD,CC-QA,20,Yes,
WS-DRV-ASPH-PRESTART-01,Review drawings and records,SI-DRV-ASPH,DM-DRV-ASPH-LD,CC-PRESTART,10,Yes,
WS-DRV-ASPH-PRESTART-02,Confirm site constraints and controls,SI-DRV-ASPH,DM-DRV-ASPH-LD,CC-PRESTART,20,Yes,
WS-DRV-ASPH-PRESTART-03,Set out work location,SI-DRV-ASPH,DM-DRV-ASPH-LD,CC-PRESTART,30,Yes,
WS-DRV-ASPH-BREAKOUT-01,Break out existing surface,SI-DRV-ASPH,DM-DRV-ASPH-LD,CC-BREAKOUT,10,Conditional,
WS-DRV-ASPH-BREAKOUT-02,Remove breakout material,SI-DRV-ASPH,DM-DRV-ASPH-LD,CC-BREAKOUT,20,Conditional,
WS-DRV-ASPH-LOCATE-01,Mark out known and suspected services,SI-DRV-ASPH,DM-DRV-ASPH-LD,CC-LOCATE,10,Conditional,
WS-DRV-ASPH-LOCATE-02,Correlate locator information,SI-DRV-ASPH,DM-DRV-ASPH-LD,CC-LOCATE,20,Conditional,
WS-DRV-ASPH-PROVE-01,Undertake proving / potholing / NDD,SI-DRV-ASPH,DM-DRV-ASPH-LD,CC-PROVE,10,Conditional,
WS-DRV-ASPH-PROVE-02,Confirm asset location and depth,SI-DRV-ASPH,DM-DRV-ASPH-LD,CC-PROVE,20,Conditional,
WS-DRV-ASPH-EXC-01,Excavate work area,SI-DRV-ASPH,DM-DRV-ASPH-LD,CC-EXC,10,Yes,
WS-DRV-ASPH-EXC-02,Trim formation / sidewalls / base,SI-DRV-ASPH,DM-DRV-ASPH-LD,CC-EXC,20,Yes,
WS-DRV-ASPH-SPOIL-01,Classify spoil,SI-DRV-ASPH,DM-DRV-ASPH-LD,CC-SPOIL,10,Yes,
WS-DRV-ASPH-SPOIL-02,Stockpile / haul / dispose spoil,SI-DRV-ASPH,DM-DRV-ASPH-LD,CC-SPOIL,20,Yes,
WS-DRV-ASPH-CAP-01,Install separator / geotextile,SI-DRV-ASPH,DM-DRV-ASPH-LD,CC-CAP,10,Conditional,
WS-DRV-ASPH-CAP-02,Place capping layer,SI-DRV-ASPH,DM-DRV-ASPH-LD,CC-CAP,20,Conditional,
WS-DRV-ASPH-SUBBASE-01,Place and compact subbase,SI-DRV-ASPH,DM-DRV-ASPH-LD,CC-SUBBASE,10,Yes,
WS-DRV-ASPH-BASE-01,Place and compact basecourse,SI-DRV-ASPH,DM-DRV-ASPH-LD,CC-BASE,10,Yes,
WS-DRV-ASPH-INSTALL-01,Install main item,SI-DRV-ASPH,DM-DRV-ASPH-LD,CC-INSTALL,10,Yes,asphalt or gravel finish layer
WS-DRV-ASPH-TIEIN-01,Form tie-ins / penetrations / edges,SI-DRV-ASPH,DM-DRV-ASPH-LD,CC-TIEIN,10,Conditional,
WS-DRV-ASPH-REINSTATE-01,Reinstate local surface,SI-DRV-ASPH,DM-DRV-ASPH-LD,CC-REINSTATE,10,Yes,
WS-DRV-ASPH-QA-01,Capture QA records and as-builts,SI-DRV-ASPH,DM-DRV-ASPH-LD,CC-QA,10,Yes,
WS-DRV-ASPH-QA-02,Final inspection and closeout,SI-DRV-ASPH,DM-DRV-ASPH-LD,CC-QA,20,Yes,
WS-DRV-GRAV-PRESTART-01,Review drawings and records,SI-DRV-GRAV,DM-DRV-GRAV-LD,CC-PRESTART,10,Yes,
