Project Input Code,Project Input Text,Scope Item Code,Delivery Method Code,Answer Type,Unit,Required,Blocks Pricing if Missing,Conditional On Summary,Active
PI-PITNEW-RIS,Is a riser required?,SI-PIT-NEW,DM-PIT-LRG,yes/no,,True,False,none,True
PI-PITTIE-A2M,Are known or suspected assets within 2 metres of mechanical excavation?,SI-PIT-TIE,DM-PIT-TIE,yes/no,,True,True,none,True
PI-PITTIE-WAT,Is abnormal water present or likely?,SI-PIT-TIE,DM-PIT-TIE,yes/no,,True,True,none,True
PI-PITTIE-W15,Does water exceed the 15 percent rule?,SI-PIT-TIE,DM-PIT-TIE,yes/no,,False,True,if abnormal water present,True
PI-PITTIE-RIN,Is local reinstatement included now?,SI-PIT-TIE,DM-PIT-TIE,yes/no,,True,False,none,True
PI-PITTIE-SURF,What is the local reinstatement surface type?,SI-PIT-TIE,DM-PIT-TIE,choice,,True,True,none,True
PI-PITTIE-BRK,Is surface breakout required?,SI-PIT-TIE,DM-PIT-TIE,yes/no,,True,True,none,True
PI-PITTIE-PIT,Which concrete pit type are you installing?,SI-PIT-TIE,DM-PIT-TIE,lookup,,True,True,none,True
PI-PITTIE-ENT,How many conduit entries are required?,SI-PIT-TIE,DM-PIT-TIE,whole number,count,True,True,none,True
PI-PITTIE-RIS,Is a riser required?,SI-PIT-TIE,DM-PIT-TIE,yes/no,,True,False,none,True
PI-PITREP-A2M,Are known or suspected assets within 2 metres of mechanical excavation?,SI-PIT-REP,DM-PIT-REP,yes/no,,True,True,none,True
PI-PITREP-WAT,Is abnormal water present or likely?,SI-PIT-REP,DM-PIT-REP,yes/no,,True,True,none,True
PI-PITREP-W15,Does water exceed the 15 percent rule?,SI-PIT-REP,DM-PIT-REP,yes/no,,False,True,if abnormal water present,True
PI-PITREP-RIN,Is local reinstatement included now?,SI-PIT-REP,DM-PIT-REP,yes/no,,True,False,none,True
PI-PITREP-SURF,What is the local reinstatement surface type?,SI-PIT-REP,DM-PIT-REP,choice,,True,True,none,True
PI-PITREP-BRK,Is surface breakout required?,SI-PIT-REP,DM-PIT-REP,yes/no,,True,True,none,True
PI-PITREP-PIT,Which concrete pit type are you installing?,SI-PIT-REP,DM-PIT-REP,lookup,,True,True,none,True
PI-PITREP-ENT,How many conduit entries are required?,SI-PIT-REP,DM-PIT-REP,whole number,count,True,True,none,True
PI-PITREP-RIS,Is a riser required?,SI-PIT-REP,DM-PIT-REP,yes/no,,True,False,none,True
PI-FPCONC-A2M,Are known or suspected assets within 2 metres of mechanical excavation?,SI-FP-CONC,DM-FP-CONC-LD,yes/no,,True,True,none,True
PI-FPCONC-WAT,Is abnormal water present or likely?,SI-FP-CONC,DM-FP-CONC-LD,yes/no,,True,True,none,True
PI-FPCONC-W15,Does water exceed the 15 percent rule?,SI-FP-CONC,DM-FP-CONC-LD,yes/no,,False,True,if abnormal water present,True
PI-FPCONC-RIN,Is local reinstatement included now?,SI-FP-CONC,DM-FP-CONC-LD,yes/no,,True,False,none,True
PI-FPCONC-QTY,What is the area?,SI-FP-CONC,DM-FP-CONC-LD,decimal,m2,True,True,none,True
PI-FPCONC-BRK,Is existing surface breakout required?,SI-FP-CONC,DM-FP-CONC-LD,yes/no,,True,True,none,True
PI-FPCONC-EST,What is the existing surface type?,SI-FP-CONC,DM-FP-CONC-LD,choice,,False,False,if breakout required,True
PI-FPCONC-DEP,What is the box-out depth?,SI-FP-CONC,DM-FP-CONC-LD,decimal,mm,True,True,none,True
PI-FPCONC-SUB,What is the subbase thickness?,SI-FP-CONC,DM-FP-CONC-LD,decimal,mm,True,True,none,True
PI-FPCONC-CON,What is the concrete thickness?,SI-FP-CONC,DM-FP-CONC-LD,decimal,mm,True,True,none,True
PI-FPCONC-CAP,Is a capping layer required?,SI-FP-CONC,DM-FP-CONC-LD,yes/no,,True,False,none,True
PI-FPCONC-SEP,Is a geotextile or separator required?,SI-FP-CONC,DM-FP-CONC-LD,yes/no,,True,False,none,True
PI-FPCONC-TIE,Are tie-ins or edge treatments required?,SI-FP-CONC,DM-FP-CONC-LD,yes/no,,True,False,none,True
PI-FPASPH-A2M,Are known or suspected assets within 2 metres of mechanical excavation?,SI-FP-ASPH,DM-FP-ASPH-LD,yes/no,,True,True,none,True
PI-FPASPH-WAT,Is abnormal water present or likely?,SI-FP-ASPH,DM-FP-ASPH-LD,yes/no,,True,True,none,True
PI-FPASPH-W15,Does water exceed the 15 percent rule?,SI-FP-ASPH,DM-FP-ASPH-LD,yes/no,,False,True,if abnormal water present,True
PI-FPASPH-RIN,Is local reinstatement included now?,SI-FP-ASPH,DM-FP-ASPH-LD,yes/no,,True,False,none,True
PI-FPASPH-QTY,What is the area?,SI-FP-ASPH,DM-FP-ASPH-LD,decimal,m2,True,True,none,True
PI-FPASPH-BRK,Is existing surface breakout required?,SI-FP-ASPH,DM-FP-ASPH-LD,yes/no,,True,True,none,True
PI-FPASPH-EST,What is the existing surface type?,SI-FP-ASPH,DM-FP-ASPH-LD,choice,,False,False,if breakout required,True
PI-FPASPH-DEP,What is the box-out depth?,SI-FP-ASPH,DM-FP-ASPH-LD,decimal,mm,True,True,none,True
PI-FPASPH-SUB,What is the subbase thickness?,SI-FP-ASPH,DM-FP-ASPH-LD,decimal,mm,True,True,none,True
PI-FPASPH-CAP,Is a capping layer required?,SI-FP-ASPH,DM-FP-ASPH-LD,yes/no,,True,False,none,True
PI-FPASPH-SEP,Is a geotextile or separator required?,SI-FP-ASPH,DM-FP-ASPH-LD,yes/no,,True,False,none,True
PI-FPASPH-TIE,Are tie-ins or edge treatments required?,SI-FP-ASPH,DM-FP-ASPH-LD,yes/no,,True,False,none,True
PI-FPGRAV-A2M,Are known or suspected assets within 2 metres of mechanical excavation?,SI-FP-GRAV,DM-FP-GRAV-LD,yes/no,,True,True,none,True
PI-FPGRAV-WAT,Is abnormal water present or likely?,SI-FP-GRAV,DM-FP-GRAV-LD,yes/no,,True,True,none,True
PI-FPGRAV-W15,Does water exceed the 15 percent rule?,SI-FP-GRAV,DM-FP-GRAV-LD,yes/no,,False,True,if abnormal water present,True
PI-FPGRAV-RIN,Is local reinstatement included now?,SI-FP-GRAV,DM-FP-GRAV-LD,yes/no,,True,False,none,True
PI-FPGRAV-QTY,What is the area?,SI-FP-GRAV,DM-FP-GRAV-LD,decimal,m2,True,True,none,True
PI-FPGRAV-BRK,Is existing surface breakout required?,SI-FP-GRAV,DM-FP-GRAV-LD,yes/no,,True,True,none,True
PI-FPGRAV-EST,What is the existing surface type?,SI-FP-GRAV,DM-FP-GRAV-LD,choice,,False,False,if breakout required,True
PI-FPGRAV-DEP,What is the box-out depth?,SI-FP-GRAV,DM-FP-GRAV-LD,decimal,mm,True,True,none,True
PI-FPGRAV-SUB,What is the subbase thickness?,SI-FP-GRAV,DM-FP-GRAV-LD,decimal,mm,True,True,none,True
PI-FPGRAV-CAP,Is a capping layer required?,SI-FP-GRAV,DM-FP-GRAV-LD,yes/no,,True,False,none,True
PI-FPGRAV-SEP,Is a geotextile or separator required?,SI-FP-GRAV,DM-FP-GRAV-LD,yes/no,,True,False,none,True
PI-FPGRAV-TIE,Are tie-ins or edge treatments required?,SI-FP-GRAV,DM-FP-GRAV-LD,yes/no,,True,False,none,True
PI-DRVCONC-A2M,Are known or suspected assets within 2 metres of mechanical excavation?,SI-DRV-CONC,DM-DRV-CONC-LD,yes/no,,True,True,none,True
PI-DRVCONC-WAT,Is abnormal water present or likely?,SI-DRV-CONC,DM-DRV-CONC-LD,yes/no,,True,True,none,True
PI-DRVCONC-W15,Does water exceed the 15 percent rule?,SI-DRV-CONC,DM-DRV-CONC-LD,yes/no,,False,True,if abnormal water present,True
PI-DRVCONC-RIN,Is local reinstatement included now?,SI-DRV-CONC,DM-DRV-CONC-LD,yes/no,,True,False,none,True
PI-DRVCONC-QTY,What is the area?,SI-DRV-CONC,DM-DRV-CONC-LD,decimal,m2,True,True,none,True
PI-DRVCONC-BRK,Is existing surface breakout required?,SI-DRV-CONC,DM-DRV-CONC-LD,yes/no,,True,True,none,True
PI-DRVCONC-EST,What is the existing surface type?,SI-DRV-CONC,DM-DRV-CONC-LD,choice,,False,False,if breakout required,True
PI-DRVCONC-DEP,What is the box-out depth?,SI-DRV-CONC,DM-DRV-CONC-LD,decimal,mm,True,True,none,True
PI-DRVCONC-SUB,What is the subbase thickness?,SI-DRV-CONC,DM-DRV-CONC-LD,decimal,mm,True,True,none,True
PI-DRVCONC-BAS,What is the structural layer thickness?,SI-DRV-CONC,DM-DRV-CONC-LD,decimal,mm,True,True,none,True
PI-DRVCONC-CON,What is the concrete thickness?,SI-DRV-CONC,DM-DRV-CONC-LD,decimal,mm,True,True,none,True
PI-DRVCONC-CAP,Is a capping layer required?,SI-DRV-CONC,DM-DRV-CONC-LD,yes/no,,True,False,none,True
PI-DRVCONC-SEP,Is a geotextile or separator required?,SI-DRV-CONC,DM-DRV-CONC-LD,yes/no,,True,False,none,True
PI-DRVCONC-TIE,Are tie-ins or edge treatments required?,SI-DRV-CONC,DM-DRV-CONC-LD,yes/no,,True,False,none,True
PI-DRVASPH-A2M,Are known or suspected assets within 2 metres of mechanical excavation?,SI-DRV-ASPH,DM-DRV-ASPH-LD,yes/no,,True,True,none,True
PI-DRVASPH-WAT,Is abnormal water present or likely?,SI-DRV-ASPH,DM-DRV-ASPH-LD,yes/no,,True,True,none,True
PI-DRVASPH-W15,Does water exceed the 15 percent rule?,SI-DRV-ASPH,DM-DRV-ASPH-LD,yes/no,,False,True,if abnormal water present,True
PI-DRVASPH-RIN,Is local reinstatement included now?,SI-DRV-ASPH,DM-DRV-ASPH-LD,yes/no,,True,False,none,True
PI-DRVASPH-QTY,What is the area?,SI-DRV-ASPH,DM-DRV-ASPH-LD,decimal,m2,True,True,none,True
PI-DRVASPH-BRK,Is existing surface breakout required?,SI-DRV-ASPH,DM-DRV-ASPH-LD,yes/no,,True,True,none,True
PI-DRVASPH-EST,What is the existing surface type?,SI-DRV-ASPH,DM-DRV-ASPH-LD,choice,,False,False,if breakout required,True
PI-DRVASPH-DEP,What is the box-out depth?,SI-DRV-ASPH,DM-DRV-ASPH-LD,decimal,mm,True,True,none,True
PI-DRVASPH-SUB,What is the subbase thickness?,SI-DRV-ASPH,DM-DRV-ASPH-LD,decimal,mm,True,True,none,True
PI-DRVASPH-BAS,What is the structural layer thickness?,SI-DRV-ASPH,DM-DRV-ASPH-LD,decimal,mm,True,True,none,True
PI-DRVASPH-CAP,Is a capping layer required?,SI-DRV-ASPH,DM-DRV-ASPH-LD,yes/no,,True,False,none,True
PI-DRVASPH-SEP,Is a geotextile or separator required?,SI-DRV-ASPH,DM-DRV-ASPH-LD,yes/no,,True,False,none,True
PI-DRVASPH-TIE,Are tie-ins or edge treatments required?,SI-DRV-ASPH,DM-DRV-ASPH-LD,yes/no,,True,False,none,True
PI-DRVGRAV-A2M,Are known or suspected assets within 2 metres of mechanical excavation?,SI-DRV-GRAV,DM-DRV-GRAV-LD,yes/no,,True,True,none,True
PI-DRVGRAV-WAT,Is abnormal water present or likely?,SI-DRV-GRAV,DM-DRV-GRAV-LD,yes/no,,True,True,none,True
PI-DRVGRAV-W15,Does water exceed the 15 percent rule?,SI-DRV-GRAV,DM-DRV-GRAV-LD,yes/no,,False,True,if abnormal water present,True
PI-DRVGRAV-RIN,Is local reinstatement included now?,SI-DRV-GRAV,DM-DRV-GRAV-LD,yes/no,,True,False,none,True
PI-DRVGRAV-QTY,What is the area?,SI-DRV-GRAV,DM-DRV-GRAV-LD,decimal,m2,True,True,none,True
PI-DRVGRAV-BRK,Is existing surface breakout required?,SI-DRV-GRAV,DM-DRV-GRAV-LD,yes/no,,True,True,none,True
PI-DRVGRAV-EST,What is the existing surface type?,SI-DRV-GRAV,DM-DRV-GRAV-LD,choice,,False,False,if breakout required,True
PI-DRVGRAV-DEP,What is the box-out depth?,SI-DRV-GRAV,DM-DRV-GRAV-LD,decimal,mm,True,True,none,True
PI-DRVGRAV-SUB,What is the subbase thickness?,SI-DRV-GRAV,DM-DRV-GRAV-LD,decimal,mm,True,True,none,True
PI-DRVGRAV-BAS,What is the structural layer thickness?,SI-DRV-GRAV,DM-DRV-GRAV-LD,decimal,mm,True,True,none,True
PI-DRVGRAV-CAP,Is a capping layer required?,SI-DRV-GRAV,DM-DRV-GRAV-LD,yes/no,,True,False,none,True
PI-DRVGRAV-SEP,Is a geotextile or separator required?,SI-DRV-GRAV,DM-DRV-GRAV-LD,yes/no,,True,False,none,True
PI-DRVGRAV-TIE,Are tie-ins or edge treatments required?,SI-DRV-GRAV,DM-DRV-GRAV-LD,yes/no,,True,False,none,True
PI-HDSCONC-A2M,Are known or suspected assets within 2 metres of mechanical excavation?,SI-HDS-CONC,DM-HDS-CONC-LD,yes/no,,True,True,none,True
PI-HDSCONC-WAT,Is abnormal water present or likely?,SI-HDS-CONC,DM-HDS-CONC-LD,yes/no,,True,True,none,True
PI-HDSCONC-W15,Does water exceed the 15 percent rule?,SI-HDS-CONC,DM-HDS-CONC-LD,yes/no,,False,True,if abnormal water present,True
PI-HDSCONC-RIN,Is local reinstatement included now?,SI-HDS-CONC,DM-HDS-CONC-LD,yes/no,,True,False,none,True
PI-HDSCONC-QTY,What is the area?,SI-HDS-CONC,DM-HDS-CONC-LD,decimal,m2,True,True,none,True
PI-HDSCONC-BRK,Is existing surface breakout required?,SI-HDS-CONC,DM-HDS-CONC-LD,yes/no,,True,True,none,True
PI-HDSCONC-EST,What is the existing surface type?,SI-HDS-CONC,DM-HDS-CONC-LD,choice,,False,False,if breakout required,True
PI-HDSCONC-DEP,What is the box-out depth?,SI-HDS-CONC,DM-HDS-CONC-LD,decimal,mm,True,True,none,True
PI-HDSCONC-SUB,What is the subbase thickness?,SI-HDS-CONC,DM-HDS-CONC-LD,decimal,mm,True,True,none,True
PI-HDSCONC-BAS,What is the structural layer thickness?,SI-HDS-CONC,DM-HDS-CONC-LD,decimal,mm,True,True,none,True
PI-HDSCONC-CON,What is the concrete thickness?,SI-HDS-CONC,DM-HDS-CONC-LD,decimal,mm,True,True,none,True
PI-HDSCONC-CAP,Is a capping layer required?,SI-HDS-CONC,DM-HDS-CONC-LD,yes/no,,True,False,none,True
PI-HDSCONC-SEP,Is a geotextile or separator required?,SI-HDS-CONC,DM-HDS-CONC-LD,yes/no,,True,False,none,True
PI-HDSCONC-TIE,Are tie-ins or edge treatments required?,SI-HDS-CONC,DM-HDS-CONC-LD,yes/no,,True,False,none,True
PI-HDSCONC-A2M,Are known or suspected assets within 2 metres of mechanical excavation?,SI-HDS-CONC,DM-HDS-CONC-HD,yes/no,,True,True,none,True
PI-HDSCONC-WAT,Is abnormal water present or likely?,SI-HDS-CONC,DM-HDS-CONC-HD,yes/no,,True,True,none,True
PI-HDSCONC-W15,Does water exceed the 15 percent rule?,SI-HDS-CONC,DM-HDS-CONC-HD,yes/no,,False,True,if abnormal water present,True
PI-HDSCONC-RIN,Is local reinstatement included now?,SI-HDS-CONC,DM-HDS-CONC-HD,yes/no,,True,False,none,True
PI-HDSCONC-QTY,What is the area?,SI-HDS-CONC,DM-HDS-CONC-HD,decimal,m2,True,True,none,True
PI-HDSCONC-BRK,Is existing surface breakout required?,SI-HDS-CONC,DM-HDS-CONC-HD,yes/no,,True,True,none,True
PI-HDSCONC-EST,What is the existing surface type?,SI-HDS-CONC,DM-HDS-CONC-HD,choice,,False,False,if breakout required,True
PI-HDSCONC-DEP,What is the box-out depth?,SI-HDS-CONC,DM-HDS-CONC-HD,decimal,mm,True,True,none,True
PI-HDSCONC-SUB,What is the subbase thickness?,SI-HDS-CONC,DM-HDS-CONC-HD,decimal,mm,True,True,none,True
PI-HDSCONC-BAS,What is the structural layer thickness?,SI-HDS-CONC,DM-HDS-CONC-HD,decimal,mm,True,True,none,True
PI-HDSCONC-CON,What is the concrete thickness?,SI-HDS-CONC,DM-HDS-CONC-HD,decimal,mm,True,True,none,True
PI-HDSCONC-CAP,Is a capping layer required?,SI-HDS-CONC,DM-HDS-CONC-HD,yes/no,,True,False,none,True
PI-HDSCONC-SEP,Is a geotextile or separator required?,SI-HDS-CONC,DM-HDS-CONC-HD,yes/no,,True,False,none,True
PI-HDSCONC-TIE,Are tie-ins or edge treatments required?,SI-HDS-CONC,DM-HDS-CONC-HD,yes/no,,True,False,none,True
PI-HDSASPH-A2M,Are known or suspected assets within 2 metres of mechanical excavation?,SI-HDS-ASPH,DM-HDS-ASPH-LD,yes/no,,True,True,none,True
PI-HDSASPH-WAT,Is abnormal water present or likely?,SI-HDS-ASPH,DM-HDS-ASPH-LD,yes/no,,True,True,none,True
PI-HDSASPH-W15,Does water exceed the 15 percent rule?,SI-HDS-ASPH,DM-HDS-ASPH-LD,yes/no,,False,True,if abnormal water present,True
PI-HDSASPH-RIN,Is local reinstatement included now?,SI-HDS-ASPH,DM-HDS-ASPH-LD,yes/no,,True,False,none,True
PI-HDSASPH-QTY,What is the area?,SI-HDS-ASPH,DM-HDS-ASPH-LD,decimal,m2,True,True,none,True
PI-HDSASPH-BRK,Is existing surface breakout required?,SI-HDS-ASPH,DM-HDS-ASPH-LD,yes/no,,True,True,none,True
PI-HDSASPH-EST,What is the existing surface type?,SI-HDS-ASPH,DM-HDS-ASPH-LD,choice,,False,False,if breakout required,True
PI-HDSASPH-DEP,What is the box-out depth?,SI-HDS-ASPH,DM-HDS-ASPH-LD,decimal,mm,True,True,none,True
PI-HDSASPH-SUB,What is the subbase thickness?,SI-HDS-ASPH,DM-HDS-ASPH-LD,decimal,mm,True,True,none,True
PI-HDSASPH-BAS,What is the structural layer thickness?,SI-HDS-ASPH,DM-HDS-ASPH-LD,decimal,mm,True,True,none,True
PI-HDSASPH-CAP,Is a capping layer required?,SI-HDS-ASPH,DM-HDS-ASPH-LD,yes/no,,True,False,none,True
PI-HDSASPH-SEP,Is a geotextile or separator required?,SI-HDS-ASPH,DM-HDS-ASPH-LD,yes/no,,True,False,none,True
PI-HDSASPH-TIE,Are tie-ins or edge treatments required?,SI-HDS-ASPH,DM-HDS-ASPH-LD,yes/no,,True,False,none,True
PI-HDSASPH-A2M,Are known or suspected assets within 2 metres of mechanical excavation?,SI-HDS-ASPH,DM-HDS-ASPH-HD,yes/no,,True,True,none,True
PI-HDSASPH-WAT,Is abnormal water present or likely?,SI-HDS-ASPH,DM-HDS-ASPH-HD,yes/no,,True,True,none,True
PI-HDSASPH-W15,Does water exceed the 15 percent rule?,SI-HDS-ASPH,DM-HDS-ASPH-HD,yes/no,,False,True,if abnormal water present,True
PI-HDSASPH-RIN,Is local reinstatement included now?,SI-HDS-ASPH,DM-HDS-ASPH-HD,yes/no,,True,False,none,True
PI-HDSASPH-QTY,What is the area?,SI-HDS-ASPH,DM-HDS-ASPH-HD,decimal,m2,True,True,none,True
PI-HDSASPH-BRK,Is existing surface breakout required?,SI-HDS-ASPH,DM-HDS-ASPH-HD,yes/no,,True,True,none,True
PI-HDSASPH-EST,What is the existing surface type?,SI-HDS-ASPH,DM-HDS-ASPH-HD,choice,,False,False,if breakout required,True
PI-HDSASPH-DEP,What is the box-out depth?,SI-HDS-ASPH,DM-HDS-ASPH-HD,decimal,mm,True,True,none,True
PI-HDSASPH-SUB,What is the subbase thickness?,SI-HDS-ASPH,DM-HDS-ASPH-HD,decimal,mm,True,True,none,True
PI-HDSASPH-BAS,What is the structural layer thickness?,SI-HDS-ASPH,DM-HDS-ASPH-HD,decimal,mm,True,True,none,True
PI-HDSASPH-CAP,Is a capping layer required?,SI-HDS-ASPH,DM-HDS-ASPH-HD,yes/no,,True,False,none,True
PI-HDSASPH-SEP,Is a geotextile or separator required?,SI-HDS-ASPH,DM-HDS-ASPH-HD,yes/no,,True,False,none,True
PI-HDSASPH-TIE,Are tie-ins or edge treatments required?,SI-HDS-ASPH,DM-HDS-ASPH-HD,yes/no,,True,False,none,True
PI-HDSGRAV-A2M,Are known or suspected assets within 2 metres of mechanical excavation?,SI-HDS-GRAV,DM-HDS-GRAV-LD,yes/no,,True,True,none,True
PI-HDSGRAV-WAT,Is abnormal water present or likely?,SI-HDS-GRAV,DM-HDS-GRAV-LD,yes/no,,True,True,none,True
PI-HDSGRAV-W15,Does water exceed the 15 percent rule?,SI-HDS-GRAV,DM-HDS-GRAV-LD,yes/no,,False,True,if abnormal water present,True
PI-HDSGRAV-RIN,Is local reinstatement included now?,SI-HDS-GRAV,DM-HDS-GRAV-LD,yes/no,,True,False,none,True
PI-HDSGRAV-QTY,What is the area?,SI-HDS-GRAV,DM-HDS-GRAV-LD,decimal,m2,True,True,none,True
PI-HDSGRAV-BRK,Is existing surface breakout required?,SI-HDS-GRAV,DM-HDS-GRAV-LD,yes/no,,True,True,none,True
PI-HDSGRAV-EST,What is the existing surface type?,SI-HDS-GRAV,DM-HDS-GRAV-LD,choice,,False,False,if breakout required,True
PI-HDSGRAV-DEP,What is the box-out depth?,SI-HDS-GRAV,DM-HDS-GRAV-LD,decimal,mm,True,True,none,True
PI-HDSGRAV-SUB,What is the subbase thickness?,SI-HDS-GRAV,DM-HDS-GRAV-LD,decimal,mm,True,True,none,True
PI-HDSGRAV-BAS,What is the structural layer thickness?,SI-HDS-GRAV,DM-HDS-GRAV-LD,decimal,mm,True,True,none,True
PI-HDSGRAV-CAP,Is a capping layer required?,SI-HDS-GRAV,DM-HDS-GRAV-LD,yes/no,,True,False,none,True
PI-HDSGRAV-SEP,Is a geotextile or separator required?,SI-HDS-GRAV,DM-HDS-GRAV-LD,yes/no,,True,False,none,True
PI-HDSGRAV-TIE,Are tie-ins or edge treatments required?,SI-HDS-GRAV,DM-HDS-GRAV-LD,yes/no,,True,False,none,True
PI-HDSGRAV-A2M,Are known or suspected assets within 2 metres of mechanical excavation?,SI-HDS-GRAV,DM-HDS-GRAV-HD,yes/no,,True,True,none,True
PI-HDSGRAV-WAT,Is abnormal water present or likely?,SI-HDS-GRAV,DM-HDS-GRAV-HD,yes/no,,True,True,none,True
PI-HDSGRAV-W15,Does water exceed the 15 percent rule?,SI-HDS-GRAV,DM-HDS-GRAV-HD,yes/no,,False,True,if abnormal water present,True
PI-HDSGRAV-RIN,Is local reinstatement included now?,SI-HDS-GRAV,DM-HDS-GRAV-HD,yes/no,,True,False,none,True
PI-HDSGRAV-QTY,What is the area?,SI-HDS-GRAV,DM-HDS-GRAV-HD,decimal,m2,True,True,none,True
PI-HDSGRAV-BRK,Is existing surface breakout required?,SI-HDS-GRAV,DM-HDS-GRAV-HD,yes/no,,True,True,none,True
PI-HDSGRAV-EST,What is the existing surface type?,SI-HDS-GRAV,DM-HDS-GRAV-HD,choice,,False,False,if breakout required,True
PI-HDSGRAV-DEP,What is the box-out depth?,SI-HDS-GRAV,DM-HDS-GRAV-HD,decimal,mm,True,True,none,True
PI-HDSGRAV-SUB,What is the subbase thickness?,SI-HDS-GRAV,DM-HDS-GRAV-HD,decimal,mm,True,True,none,True
PI-HDSGRAV-BAS,What is the structural layer thickness?,SI-HDS-GRAV,DM-HDS-GRAV-HD,decimal,mm,True,True,none,True
PI-HDSGRAV-CAP,Is a capping layer required?,SI-HDS-GRAV,DM-HDS-GRAV-HD,yes/no,,True,False,none,True
PI-HDSGRAV-SEP,Is a geotextile or separator required?,SI-HDS-GRAV,DM-HDS-GRAV-HD,yes/no,,True,False,none,True
PI-HDSGRAV-TIE,Are tie-ins or edge treatments required?,SI-HDS-GRAV,DM-HDS-GRAV-HD,yes/no,,True,False,none,True
PI-PROVNDD-A2M,Are known or suspected assets within 2 metres of mechanical excavation?,SI-PROV-NDD,DM-PROV-NDD,yes/no,,True,True,none,True
PI-PROVNDD-WAT,Is abnormal water present or likely?,SI-PROV-NDD,DM-PROV-NDD,yes/no,,True,True,none,True
PI-PROVNDD-W15,Does water exceed the 15 percent rule?,SI-PROV-NDD,DM-PROV-NDD,yes/no,,False,True,if abnormal water present,True
PI-PROVNDD-RIN,Is local reinstatement included now?,SI-PROV-NDD,DM-PROV-NDD,yes/no,,True,False,none,True
PI-PROVNDD-CNT,How many proving locations are required?,SI-PROV-NDD,DM-PROV-NDD,whole number,count,True,True,none,True
PI-PROVNDD-SURF,What surface are you proving through?,SI-PROV-NDD,DM-PROV-NDD,choice,,True,True,none,True
PI-PROVNDD-BRK,Is hard surface breakout required?,SI-PROV-NDD,DM-PROV-NDD,yes/no,,True,False,none,True
PI-PROVNDD-TYP,What is the target service type?,SI-PROV-NDD,DM-PROV-NDD,choice,,True,False,none,True
PI-PROVNDD-DEP,What is the target depth band?,SI-PROV-NDD,DM-PROV-NDD,choice,,True,True,none,True
PI-PROVNDD-TC,Is traffic or pedestrian control required?,SI-PROV-NDD,DM-PROV-NDD,yes/no,,True,False,none,True
PI-PROVPOT-A2M,Are known or suspected assets within 2 metres of mechanical excavation?,SI-PROV-POT,DM-PROV-POT,yes/no,,True,True,none,True
PI-PROVPOT-WAT,Is abnormal water present or likely?,SI-PROV-POT,DM-PROV-POT,yes/no,,True,True,none,True
PI-PROVPOT-W15,Does water exceed the 15 percent rule?,SI-PROV-POT,DM-PROV-POT,yes/no,,False,True,if abnormal water present,True
PI-PROVPOT-RIN,Is local reinstatement included now?,SI-PROV-POT,DM-PROV-POT,yes/no,,True,False,none,True
PI-PROVPOT-CNT,How many proving locations are required?,SI-PROV-POT,DM-PROV-POT,whole number,count,True,True,none,True
PI-PROVPOT-SURF,What surface are you proving through?,SI-PROV-POT,DM-PROV-POT,choice,,True,True,none,True
