Scope Item Code,Scope Item Name,Work Category Code,Pricing Unit,Scope Item Type,Active,Notes
SI-EW-BULK,Bulk cut excavation,WC-EW,m3,Production Object,True,
SI-EW-SITEFILL,Site-won fill placement,WC-EW,m3,Production Object,True,
SI-EW-IMPFILL,Imported fill placement,WC-EW,m3,Production Object,True,
SI-EW-SELFILL,Select fill adjacent to structures,WC-EW,m3,Production Object,True,
SI-EW-CRUSHBF,Crushed rock backfill and compaction,WC-EW,m3,Production Object,True,
SI-DRAIN-PVC,PVC drainage line installation,WC-DRAIN,m,Production Object,True,
SI-DRAIN-RCP,Reinforced concrete drainage line installation,WC-DRAIN,m,Production Object,True,
SI-DRAIN-SWAL,Surface drainage swale / spoon drain,WC-DRAIN,lm,Production Object,True,
SI-DRAIN-PIT,Drainage inlet / pit / gully civils,WC-DRAIN,each,Production Object,True,
SI-DRAIN-KG,Kerb and gutter,WC-DRAIN,m,Production Object,True,
SI-DRAIN-LKB,Layback kerb,WC-DRAIN,m,Production Object,True,
SI-DRAIN-XS,Single vehicular crossing,WC-DRAIN,each,Production Object,True,
SI-DRAIN-XD,Double vehicular crossing,WC-DRAIN,each,Production Object,True,
SI-DRAIN-RWB,Retaining wall — blockwork,WC-DRAIN,m,Production Object,True,
SI-DRAIN-RWC,Retaining wall — concrete,WC-DRAIN,m,Production Object,True,
SI-DRAIN-RWT,Retaining wall — timber,WC-DRAIN,m,Production Object,True,
SI-FENCE-PERSG,Personnel access gate install,WC-FENCE,each,Production Object,True,
SI-FENCE-VEHG,Vehicular access gate install,WC-FENCE,each,Production Object,True,
SI-FENCE-REM,Compound fence removal,WC-FENCE,m,Production Object,True,
SI-FENCE-RELOC,Compound fence relocation,WC-FENCE,m,Production Object,True,
SI-FENCE-STKS,Stock fence gate — single,WC-FENCE,each,Production Object,True,
SI-FENCE-STKD,Stock fence gate — double,WC-FENCE,each,Production Object,True,
SI-FENCE-STKREM,Stock fence removal,WC-FENCE,m,Production Object,True,
SI-PRELIM-SITEVIS,Site quotation inspection,WC-PRELIM,each,Support Object,True,
SI-PRELIM-CONSTR,Constructability attendance,WC-PRELIM,each,Support Object,True,
SI-PRELIM-SETOUT,Site setout / identification survey,WC-PRELIM,each,Support Object,True,
SI-PRELIM-ECO,Specialist ecological inspection,WC-PRELIM,each,Support Object,True,
SI-PRELIM-DILAP,Dilapidation survey,WC-PRELIM,each,Support Object,True,
SI-PRELIM-INDUCT,Site inductions and tickets,WC-PRELIM,person,Support Object,True,
SI-PRELIM-WASTE,Waste bin / rubbish removal support,WC-PRELIM,each,Support Object,True,
SI-PRELIM-PWRAUD,Power viability audit,WC-PRELIM,each,Support Object,True,
SI-PRELIM-SUPER,Supervision and site project management,WC-PRELIM,each,Support Object,True,
SI-PRELIM-ENGFIN,Engineering final inspection,WC-PRELIM,each,Support Object,True,
SI-ENV-TC,Traffic management,WC-ENV,item,Overlay Object,True,
SI-ENV-SEDF,Sediment fence,WC-ENV,m,Overlay Object,True,
SI-ENV-TREE,Tree protection,WC-ENV,item,Overlay Object,True,
SI-ENV-DUST,Dust control,WC-ENV,item,Overlay Object,True,
SI-ENV-MUD,Rubble trap / mud grid,WC-ENV,item,Overlay Object,True,
SI-GEN-DEP-BH,Generator deployment — business hours,WC-GEN,item,Support Object,True,
SI-GEN-DEP-AH,Generator deployment — after hours,WC-GEN,item,Support Object,True,
SI-GEN-HIRE-DAY,Daily generator hire,WC-GEN,day,Support Object,True,
SI-GEN-HIRE-WK,Weekly generator hire,WC-GEN,week,Support Object,True,
SI-GEN-FUEL,Generator fuel,WC-GEN,litre,Support Object,True,
SI-GEN-SWITCH,Generator plug and transfer switch,WC-GEN,each,Support Object,True,
SI-RAIL-TRACK,Track protection overlay,WC-RAIL,item,Overlay Object,True,
