Scope Item Code,Delivery Method Code,Cost Component Code,Sequence Number,Included by Default,Conditional Rule Summary,Active,Notes
SI-PIT-REP,DM-PIT-REP,CC-REINSTATE,130,Yes,if reinstatement included now,True,
SI-PIT-REP,DM-PIT-REP,CC-QA,140,Yes,none,True,
SI-FP-CONC,DM-FP-CONC-LD,CC-PRESTART,10,Yes,none,True,
SI-FP-CONC,DM-FP-CONC-LD,CC-BREAKOUT,20,Conditional,if breakout required,True,
SI-FP-CONC,DM-FP-CONC-LD,CC-LOCATE,30,Conditional,if assets within 2 m,True,
SI-FP-CONC,DM-FP-CONC-LD,CC-PROVE,40,Conditional,if assets within 2 m,True,
SI-FP-CONC,DM-FP-CONC-LD,CC-EXC,50,Yes,none,True,
SI-FP-CONC,DM-FP-CONC-LD,CC-SPOIL,60,Yes,none,True,
SI-FP-CONC,DM-FP-CONC-LD,CC-CAP,70,Conditional,if separator or capping required,True,
SI-FP-CONC,DM-FP-CONC-LD,CC-SUBBASE,80,Yes,none,True,
SI-FP-CONC,DM-FP-CONC-LD,CC-REINF,90,Conditional,if reinforcement required,True,
SI-FP-CONC,DM-FP-CONC-LD,CC-CONC,100,Yes,none,True,
SI-FP-CONC,DM-FP-CONC-LD,CC-TIEIN,110,Conditional,if tie-ins or edge treatment required,True,
SI-FP-CONC,DM-FP-CONC-LD,CC-REINSTATE,120,Yes,if reinstatement included now,True,
SI-FP-CONC,DM-FP-CONC-LD,CC-QA,130,Yes,none,True,
SI-FP-ASPH,DM-FP-ASPH-LD,CC-PRESTART,10,Yes,none,True,
SI-FP-ASPH,DM-FP-ASPH-LD,CC-BREAKOUT,20,Conditional,if breakout required,True,
SI-FP-ASPH,DM-FP-ASPH-LD,CC-LOCATE,30,Conditional,if assets within 2 m,True,
SI-FP-ASPH,DM-FP-ASPH-LD,CC-PROVE,40,Conditional,if assets within 2 m,True,
SI-FP-ASPH,DM-FP-ASPH-LD,CC-EXC,50,Yes,none,True,
SI-FP-ASPH,DM-FP-ASPH-LD,CC-SPOIL,60,Yes,none,True,
SI-FP-ASPH,DM-FP-ASPH-LD,CC-CAP,70,Conditional,if separator or capping required,True,
SI-FP-ASPH,DM-FP-ASPH-LD,CC-SUBBASE,80,Yes,none,True,
SI-FP-ASPH,DM-FP-ASPH-LD,CC-INSTALL,90,Yes,none,True,asphalt or gravel finish layer
SI-FP-ASPH,DM-FP-ASPH-LD,CC-TIEIN,100,Conditional,if tie-ins or edge treatment required,True,
SI-FP-ASPH,DM-FP-ASPH-LD,CC-REINSTATE,110,Yes,if reinstatement included now,True,
SI-FP-ASPH,DM-FP-ASPH-LD,CC-QA,120,Yes,none,True,
SI-FP-GRAV,DM-FP-GRAV-LD,CC-PRESTART,10,Yes,none,True,
SI-FP-GRAV,DM-FP-GRAV-LD,CC-BREAKOUT,20,Conditional,if breakout required,True,
SI-FP-GRAV,DM-FP-GRAV-LD,CC-LOCATE,30,Conditional,if assets within 2 m,True,
SI-FP-GRAV,DM-FP-GRAV-LD,CC-PROVE,40,Conditional,if assets within 2 m,True,
SI-FP-GRAV,DM-FP-GRAV-LD,CC-EXC,50,Yes,none,True,
SI-FP-GRAV,DM-FP-GRAV-LD,CC-SPOIL,60,Yes,none,True,
SI-FP-GRAV,DM-FP-GRAV-LD,CC-CAP,70,Conditional,if separator or capping required,True,
SI-FP-GRAV,DM-FP-GRAV-LD,CC-SUBBASE,80,Yes,none,True,
SI-FP-GRAV,DM-FP-GRAV-LD,CC-INSTALL,90,Yes,none,True,asphalt or gravel finish layer
SI-FP-GRAV,DM-FP-GRAV-LD,CC-TIEIN,100,Conditional,if tie-ins or edge treatment required,True,
SI-FP-GRAV,DM-FP-GRAV-LD,CC-REINSTATE,110,Yes,if reinstatement included now,True,
SI-FP-GRAV,DM-FP-GRAV-LD,CC-QA,120,Yes,none,True,
SI-DRV-CONC,DM-DRV-CONC-LD,CC-PRESTART,10,Yes,none,True,
SI-DRV-CONC,DM-DRV-CONC-LD,CC-BREAKOUT,20,Conditional,if breakout required,True,
SI-DRV-CONC,DM-DRV-CONC-LD,CC-LOCATE,30,Conditional,if assets within 2 m,True,
SI-DRV-CONC,DM-DRV-CONC-LD,CC-PROVE,40,Conditional,if assets within 2 m,True,
SI-DRV-CONC,DM-DRV-CONC-LD,CC-EXC,50,Yes,none,True,
SI-DRV-CONC,DM-DRV-CONC-LD,CC-SPOIL,60,Yes,none,True,
SI-DRV-CONC,DM-DRV-CONC-LD,CC-CAP,70,Conditional,if separator or capping required,True,
SI-DRV-CONC,DM-DRV-CONC-LD,CC-SUBBASE,80,Yes,none,True,
SI-DRV-CONC,DM-DRV-CONC-LD,CC-BASE,90,Yes,structural layer where required,True,
SI-DRV-CONC,DM-DRV-CONC-LD,CC-REINF,100,Conditional,if reinforcement required,True,
SI-DRV-CONC,DM-DRV-CONC-LD,CC-CONC,110,Yes,none,True,
SI-DRV-CONC,DM-DRV-CONC-LD,CC-TIEIN,120,Conditional,if tie-ins or edge treatment required,True,
SI-DRV-CONC,DM-DRV-CONC-LD,CC-REINSTATE,130,Yes,if reinstatement included now,True,
SI-DRV-CONC,DM-DRV-CONC-LD,CC-QA,140,Yes,none,True,
SI-DRV-ASPH,DM-DRV-ASPH-LD,CC-PRESTART,10,Yes,none,True,
SI-DRV-ASPH,DM-DRV-ASPH-LD,CC-BREAKOUT,20,Conditional,if breakout required,True,
SI-DRV-ASPH,DM-DRV-ASPH-LD,CC-LOCATE,30,Conditional,if assets within 2 m,True,
SI-DRV-ASPH,DM-DRV-ASPH-LD,CC-PROVE,40,Conditional,if assets within 2 m,True,
SI-DRV-ASPH,DM-DRV-ASPH-LD,CC-EXC,50,Yes,none,True,
SI-DRV-ASPH,DM-DRV-ASPH-LD,CC-SPOIL,60,Yes,none,True,
SI-DRV-ASPH,DM-DRV-ASPH-LD,CC-CAP,70,Conditional,if separator or capping required,True,
SI-DRV-ASPH,DM-DRV-ASPH-LD,CC-SUBBASE,80,Yes,none,True,
SI-DRV-ASPH,DM-DRV-ASPH-LD,CC-BASE,90,Yes,structural layer where required,True,
SI-DRV-ASPH,DM-DRV-ASPH-LD,CC-INSTALL,100,Yes,none,True,asphalt or gravel finish layer
SI-DRV-ASPH,DM-DRV-ASPH-LD,CC-TIEIN,110,Conditional,if tie-ins or edge treatment required,True,
SI-DRV-ASPH,DM-DRV-ASPH-LD,CC-REINSTATE,120,Yes,if reinstatement included now,True,
SI-DRV-ASPH,DM-DRV-ASPH-LD,CC-QA,130,Yes,none,True,
SI-DRV-GRAV,DM-DRV-GRAV-LD,CC-PRESTART,10,Yes,none,True,
SI-DRV-GRAV,DM-DRV-GRAV-LD,CC-BREAKOUT,20,Conditional,if breakout required,True,
SI-DRV-GRAV,DM-DRV-GRAV-LD,CC-LOCATE,30,Conditional,if assets within 2 m,True,
SI-DRV-GRAV,DM-DRV-GRAV-LD,CC-PROVE,40,Conditional,if assets within 2 m,True,
SI-DRV-GRAV,DM-DRV-GRAV-LD,CC-EXC,50,Yes,none,True,
SI-DRV-GRAV,DM-DRV-GRAV-LD,CC-SPOIL,60,Yes,none,True,
SI-DRV-GRAV,DM-DRV-GRAV-LD,CC-CAP,70,Conditional,if separator or capping required,True,
SI-DRV-GRAV,DM-DRV-GRAV-LD,CC-SUBBASE,80,Yes,none,True,
SI-DRV-GRAV,DM-DRV-GRAV-LD,CC-BASE,90,Yes,structural layer where required,True,
SI-DRV-GRAV,DM-DRV-GRAV-LD,CC-INSTALL,100,Yes,none,True,asphalt or gravel finish layer
SI-DRV-GRAV,DM-DRV-GRAV-LD,CC-TIEIN,110,Conditional,if tie-ins or edge treatment required,True,
SI-DRV-GRAV,DM-DRV-GRAV-LD,CC-REINSTATE,120,Yes,if reinstatement included now,True,
SI-DRV-GRAV,DM-DRV-GRAV-LD,CC-QA,130,Yes,none,True,
SI-HDS-CONC,DM-HDS-CONC-LD,CC-PRESTART,10,Yes,none,True,
SI-HDS-CONC,DM-HDS-CONC-LD,CC-BREAKOUT,20,Conditional,if breakout required,True,
SI-HDS-CONC,DM-HDS-CONC-LD,CC-LOCATE,30,Conditional,if assets within 2 m,True,
SI-HDS-CONC,DM-HDS-CONC-LD,CC-PROVE,40,Conditional,if assets within 2 m,True,
SI-HDS-CONC,DM-HDS-CONC-LD,CC-EXC,50,Yes,none,True,
SI-HDS-CONC,DM-HDS-CONC-LD,CC-SPOIL,60,Yes,none,True,
SI-HDS-CONC,DM-HDS-CONC-LD,CC-CAP,70,Conditional,if separator or capping required,True,
SI-HDS-CONC,DM-HDS-CONC-LD,CC-SUBBASE,80,Yes,none,True,
SI-HDS-CONC,DM-HDS-CONC-LD,CC-BASE,90,Yes,structural layer where required,True,
SI-HDS-CONC,DM-HDS-CONC-LD,CC-REINF,100,Conditional,if reinforcement required,True,
SI-HDS-CONC,DM-HDS-CONC-LD,CC-CONC,110,Yes,none,True,
SI-HDS-CONC,DM-HDS-CONC-LD,CC-TIEIN,120,Conditional,if tie-ins or edge treatment required,True,
SI-HDS-CONC,DM-HDS-CONC-LD,CC-REINSTATE,130,Yes,if reinstatement included now,True,
SI-HDS-CONC,DM-HDS-CONC-LD,CC-QA,140,Yes,none,True,
SI-HDS-CONC,DM-HDS-CONC-HD,CC-PRESTART,10,Yes,none,True,
SI-HDS-CONC,DM-HDS-CONC-HD,CC-BREAKOUT,20,Conditional,if breakout required,True,
SI-HDS-CONC,DM-HDS-CONC-HD,CC-LOCATE,30,Conditional,if assets within 2 m,True,
SI-HDS-CONC,DM-HDS-CONC-HD,CC-PROVE,40,Conditional,if assets within 2 m,True,
SI-HDS-CONC,DM-HDS-CONC-HD,CC-EXC,50,Yes,none,True,
SI-HDS-CONC,DM-HDS-CONC-HD,CC-SPOIL,60,Yes,none,True,
SI-HDS-CONC,DM-HDS-CONC-HD,CC-CAP,70,Conditional,if separator or capping required,True,
SI-HDS-CONC,DM-HDS-CONC-HD,CC-SUBBASE,80,Yes,none,True,
SI-HDS-CONC,DM-HDS-CONC-HD,CC-BASE,90,Yes,structural layer where required,True,
SI-HDS-CONC,DM-HDS-CONC-HD,CC-REINF,100,Conditional,if reinforcement required,True,
SI-HDS-CONC,DM-HDS-CONC-HD,CC-CONC,110,Yes,none,True,
SI-HDS-CONC,DM-HDS-CONC-HD,CC-TIEIN,120,Conditional,if tie-ins or edge treatment required,True,
SI-HDS-CONC,DM-HDS-CONC-HD,CC-REINSTATE,130,Yes,if reinstatement included now,True,
SI-HDS-CONC,DM-HDS-CONC-HD,CC-QA,140,Yes,none,True,
SI-HDS-ASPH,DM-HDS-ASPH-LD,CC-PRESTART,10,Yes,none,True,
SI-HDS-ASPH,DM-HDS-ASPH-LD,CC-BREAKOUT,20,Conditional,if breakout required,True,
SI-HDS-ASPH,DM-HDS-ASPH-LD,CC-LOCATE,30,Conditional,if assets within 2 m,True,
SI-HDS-ASPH,DM-HDS-ASPH-LD,CC-PROVE,40,Conditional,if assets within 2 m,True,
SI-HDS-ASPH,DM-HDS-ASPH-LD,CC-EXC,50,Yes,none,True,
SI-HDS-ASPH,DM-HDS-ASPH-LD,CC-SPOIL,60,Yes,none,True,
SI-HDS-ASPH,DM-HDS-ASPH-LD,CC-CAP,70,Conditional,if separator or capping required,True,
SI-HDS-ASPH,DM-HDS-ASPH-LD,CC-SUBBASE,80,Yes,none,True,
SI-HDS-ASPH,DM-HDS-ASPH-LD,CC-BASE,90,Yes,structural layer where required,True,
SI-HDS-ASPH,DM-HDS-ASPH-LD,CC-INSTALL,100,Yes,none,True,asphalt or gravel finish layer
SI-HDS-ASPH,DM-HDS-ASPH-LD,CC-TIEIN,110,Conditional,if tie-ins or edge treatment required,True,
SI-HDS-ASPH,DM-HDS-ASPH-LD,CC-REINSTATE,120,Yes,if reinstatement included now,True,
SI-HDS-ASPH,DM-HDS-ASPH-LD,CC-QA,130,Yes,none,True,
SI-HDS-ASPH,DM-HDS-ASPH-HD,CC-PRESTART,10,Yes,none,True,
SI-HDS-ASPH,DM-HDS-ASPH-HD,CC-BREAKOUT,20,Conditional,if breakout required,True,
SI-HDS-ASPH,DM-HDS-ASPH-HD,CC-LOCATE,30,Conditional,if assets within 2 m,True,
SI-HDS-ASPH,DM-HDS-ASPH-HD,CC-PROVE,40,Conditional,if assets within 2 m,True,
SI-HDS-ASPH,DM-HDS-ASPH-HD,CC-EXC,50,Yes,none,True,
SI-HDS-ASPH,DM-HDS-ASPH-HD,CC-SPOIL,60,Yes,none,True,
SI-HDS-ASPH,DM-HDS-ASPH-HD,CC-CAP,70,Conditional,if separator or capping required,True,
SI-HDS-ASPH,DM-HDS-ASPH-HD,CC-SUBBASE,80,Yes,none,True,
SI-HDS-ASPH,DM-HDS-ASPH-HD,CC-BASE,90,Yes,structural layer where required,True,
SI-HDS-ASPH,DM-HDS-ASPH-HD,CC-INSTALL,100,Yes,none,True,asphalt or gravel finish layer
SI-HDS-ASPH,DM-HDS-ASPH-HD,CC-TIEIN,110,Conditional,if tie-ins or edge treatment required,True,
SI-HDS-ASPH,DM-HDS-ASPH-HD,CC-REINSTATE,120,Yes,if reinstatement included now,True,
SI-HDS-ASPH,DM-HDS-ASPH-HD,CC-QA,130,Yes,none,True,
SI-HDS-GRAV,DM-HDS-GRAV-LD,CC-PRESTART,10,Yes,none,True,
SI-HDS-GRAV,DM-HDS-GRAV-LD,CC-BREAKOUT,20,Conditional,if breakout required,True,
SI-HDS-GRAV,DM-HDS-GRAV-LD,CC-LOCATE,30,Conditional,if assets within 2 m,True,
SI-HDS-GRAV,DM-HDS-GRAV-LD,CC-PROVE,40,Conditional,if assets within 2 m,True,
SI-HDS-GRAV,DM-HDS-GRAV-LD,CC-EXC,50,Yes,none,True,
SI-HDS-GRAV,DM-HDS-GRAV-LD,CC-SPOIL,60,Yes,none,True,
SI-HDS-GRAV,DM-HDS-GRAV-LD,CC-CAP,70,Conditional,if separator or capping required,True,
SI-HDS-GRAV,DM-HDS-GRAV-LD,CC-SUBBASE,80,Yes,none,True,
SI-HDS-GRAV,DM-HDS-GRAV-LD,CC-BASE,90,Yes,structural layer where required,True,
SI-HDS-GRAV,DM-HDS-GRAV-LD,CC-INSTALL,100,Yes,none,True,asphalt or gravel finish layer
SI-HDS-GRAV,DM-HDS-GRAV-LD,CC-TIEIN,110,Conditional,if tie-ins or edge treatment required,True,
SI-HDS-GRAV,DM-HDS-GRAV-LD,CC-REINSTATE,120,Yes,if reinstatement included now,True,
SI-HDS-GRAV,DM-HDS-GRAV-LD,CC-QA,130,Yes,none,True,
SI-HDS-GRAV,DM-HDS-GRAV-HD,CC-PRESTART,10,Yes,none,True,
SI-HDS-GRAV,DM-HDS-GRAV-HD,CC-BREAKOUT,20,Conditional,if breakout required,True,
SI-HDS-GRAV,DM-HDS-GRAV-HD,CC-LOCATE,30,Conditional,if assets within 2 m,True,
SI-HDS-GRAV,DM-HDS-GRAV-HD,CC-PROVE,40,Conditional,if assets within 2 m,True,
SI-HDS-GRAV,DM-HDS-GRAV-HD,CC-EXC,50,Yes,none,True,
SI-HDS-GRAV,DM-HDS-GRAV-HD,CC-SPOIL,60,Yes,none,True,
SI-HDS-GRAV,DM-HDS-GRAV-HD,CC-CAP,70,Conditional,if separator or capping required,True,
SI-HDS-GRAV,DM-HDS-GRAV-HD,CC-SUBBASE,80,Yes,none,True,
SI-HDS-GRAV,DM-HDS-GRAV-HD,CC-BASE,90,Yes,structural layer where required,True,
SI-HDS-GRAV,DM-HDS-GRAV-HD,CC-INSTALL,100,Yes,none,True,asphalt or gravel finish layer
SI-HDS-GRAV,DM-HDS-GRAV-HD,CC-TIEIN,110,Conditional,if tie-ins or edge treatment required,True,
SI-HDS-GRAV,DM-HDS-GRAV-HD,CC-REINSTATE,120,Yes,if reinstatement included now,True,
SI-HDS-GRAV,DM-HDS-GRAV-HD,CC-QA,130,Yes,none,True,
SI-PROV-NDD,DM-PROV-NDD,CC-PRESTART,10,Yes,none,True,
SI-PROV-NDD,DM-PROV-NDD,CC-LOCATE,20,Yes,none,True,
SI-PROV-NDD,DM-PROV-NDD,CC-BREAKOUT,30,Conditional,if hard surface breakout,True,
SI-PROV-NDD,DM-PROV-NDD,CC-PROVE,40,Yes,none,True,
SI-PROV-NDD,DM-PROV-NDD,CC-PROTECT,50,Conditional,if asset protection required,True,
SI-PROV-NDD,DM-PROV-NDD,CC-SPOIL,60,Yes,none,True,
SI-PROV-NDD,DM-PROV-NDD,CC-MAKESAFE,70,Conditional,if leave-safe required,True,
SI-PROV-NDD,DM-PROV-NDD,CC-REINSTATE,80,Conditional,if reinstatement included now,True,
SI-PROV-NDD,DM-PROV-NDD,CC-QA,90,Yes,none,True,
SI-PROV-POT,DM-PROV-POT,CC-PRESTART,10,Yes,none,True,
SI-PROV-POT,DM-PROV-POT,CC-LOCATE,20,Yes,none,True,
SI-PROV-POT,DM-PROV-POT,CC-BREAKOUT,30,Conditional,if hard surface breakout,True,
SI-PROV-POT,DM-PROV-POT,CC-PROVE,40,Yes,none,True,
SI-PROV-POT,DM-PROV-POT,CC-PROTECT,50,Conditional,if asset protection required,True,
SI-PROV-POT,DM-PROV-POT,CC-SPOIL,60,Yes,none,True,
SI-PROV-POT,DM-PROV-POT,CC-MAKESAFE,70,Conditional,if leave-safe required,True,
SI-PROV-POT,DM-PROV-POT,CC-REINSTATE,80,Conditional,if reinstatement included now,True,
SI-PROV-POT,DM-PROV-POT,CC-QA,90,Yes,none,True,
SI-PROV-SLOT,DM-PROV-SLOT,CC-PRESTART,10,Yes,none,True,
SI-PROV-SLOT,DM-PROV-SLOT,CC-LOCATE,20,Yes,none,True,
SI-PROV-SLOT,DM-PROV-SLOT,CC-BREAKOUT,30,Conditional,if hard surface breakout,True,
SI-PROV-SLOT,DM-PROV-SLOT,CC-PROVE,40,Yes,none,True,
SI-PROV-SLOT,DM-PROV-SLOT,CC-PROTECT,50,Conditional,if asset protection required,True,
SI-PROV-SLOT,DM-PROV-SLOT,CC-SPOIL,60,Yes,none,True,
SI-PROV-SLOT,DM-PROV-SLOT,CC-MAKESAFE,70,Conditional,if leave-safe required,True,
SI-PROV-SLOT,DM-PROV-SLOT,CC-REINSTATE,80,Conditional,if reinstatement included now,True,
SI-PROV-SLOT,DM-PROV-SLOT,CC-QA,90,Yes,none,True,
SI-PROV-BREXP,DM-PROV-BREXP,CC-PRESTART,10,Yes,none,True,
SI-PROV-BREXP,DM-PROV-BREXP,CC-LOCATE,20,Yes,none,True,
SI-PROV-BREXP,DM-PROV-BREXP,CC-BREAKOUT,30,Conditional,if hard surface breakout,True,
SI-PROV-BREXP,DM-PROV-BREXP,CC-PROVE,40,Yes,none,True,
SI-PROV-BREXP,DM-PROV-BREXP,CC-PROTECT,50,Conditional,if asset protection required,True,
SI-PROV-BREXP,DM-PROV-BREXP,CC-SPOIL,60,Yes,none,True,
SI-PROV-BREXP,DM-PROV-BREXP,CC-MAKESAFE,70,Conditional,if leave-safe required,True,
SI-PROV-BREXP,DM-PROV-BREXP,CC-REINSTATE,80,Conditional,if reinstatement included now,True,
SI-PROV-BREXP,DM-PROV-BREXP,CC-QA,90,Yes,none,True,
SI-PROV-PITINV,DM-PROV-PITINV,CC-PRESTART,10,Yes,none,True,
SI-PROV-PITINV,DM-PROV-PITINV,CC-LOCATE,20,Yes,none,True,
SI-PROV-PITINV,DM-PROV-PITINV,CC-BREAKOUT,30,Conditional,if hard surface breakout,True,
SI-PROV-PITINV,DM-PROV-PITINV,CC-PROVE,40,Yes,none,True,
SI-PROV-PITINV,DM-PROV-PITINV,CC-PROTECT,50,Conditional,if asset protection required,True,
SI-PROV-PITINV,DM-PROV-PITINV,CC-SPOIL,60,Yes,none,True,
SI-PROV-PITINV,DM-PROV-PITINV,CC-MAKESAFE,70,Conditional,if leave-safe required,True,
SI-PROV-PITINV,DM-PROV-PITINV,CC-REINSTATE,80,Conditional,if reinstatement included now,True,
SI-PROV-PITINV,DM-PROV-PITINV,CC-QA,90,Yes,none,True,
SI-FOUND-SHELTER,DM-FOUND-SHELTER-STD,CC-PRESTART,10,Yes,none,True,
SI-FOUND-SHELTER,DM-FOUND-SHELTER-STD,CC-LOCATE,20,Conditional,if assets within 2 m,True,
SI-FOUND-SHELTER,DM-FOUND-SHELTER-STD,CC-PROVE,30,Conditional,if assets within 2 m,True,
SI-FOUND-SHELTER,DM-FOUND-SHELTER-STD,CC-INSTALL,40,Yes,drill / bore path plugs in here,True,
SI-FOUND-SHELTER,DM-FOUND-SHELTER-STD,CC-REINF,50,Conditional,cage path,True,
SI-FOUND-SHELTER,DM-FOUND-SHELTER-STD,CC-CONC,60,Yes,none,True,
SI-FOUND-SHELTER,DM-FOUND-SHELTER-STD,CC-TIEIN,70,Conditional,post / starter interface,True,
SI-FOUND-SHELTER,DM-FOUND-SHELTER-STD,CC-BFILL,80,Conditional,if local backfill required,True,
SI-FOUND-SHELTER,DM-FOUND-SHELTER-STD,CC-REINSTATE,90,Yes,none,True,
SI-FOUND-SHELTER,DM-FOUND-SHELTER-STD,CC-QA,100,Yes,none,True,
SI-FOUND-SOLAR,DM-FOUND-SOLAR-STD,CC-PRESTART,10,Yes,none,True,
SI-FOUND-SOLAR,DM-FOUND-SOLAR-STD,CC-LOCATE,20,Conditional,if assets within 2 m,True,
SI-FOUND-SOLAR,DM-FOUND-SOLAR-STD,CC-PROVE,30,Conditional,if assets within 2 m,True,
SI-FOUND-SOLAR,DM-FOUND-SOLAR-STD,CC-INSTALL,40,Yes,drill / bore path plugs in here,True,
SI-FOUND-SOLAR,DM-FOUND-SOLAR-STD,CC-REINF,50,Conditional,cage path,True,
SI-FOUND-SOLAR,DM-FOUND-SOLAR-STD,CC-CONC,60,Yes,none,True,
SI-FOUND-SOLAR,DM-FOUND-SOLAR-STD,CC-TIEIN,70,Conditional,post / starter interface,True,
SI-FOUND-SOLAR,DM-FOUND-SOLAR-STD,CC-BFILL,80,Conditional,if local backfill required,True,
SI-FOUND-SOLAR,DM-FOUND-SOLAR-STD,CC-REINSTATE,90,Yes,none,True,
SI-FOUND-SOLAR,DM-FOUND-SOLAR-STD,CC-QA,100,Yes,none,True,
SI-FOUND-FENCE,DM-FOUND-FENCE-STD,CC-PRESTART,10,Yes,none,True,
SI-FOUND-FENCE,DM-FOUND-FENCE-STD,CC-LOCATE,20,Conditional,if assets within 2 m,True,
SI-FOUND-FENCE,DM-FOUND-FENCE-STD,CC-PROVE,30,Conditional,if assets within 2 m,True,
SI-FOUND-FENCE,DM-FOUND-FENCE-STD,CC-INSTALL,40,Yes,drill / bore path plugs in here,True,
SI-FOUND-FENCE,DM-FOUND-FENCE-STD,CC-REINF,50,Conditional,cage path,True,
SI-FOUND-FENCE,DM-FOUND-FENCE-STD,CC-CONC,60,Yes,none,True,
SI-FOUND-FENCE,DM-FOUND-FENCE-STD,CC-TIEIN,70,Conditional,post / starter interface,True,
SI-FOUND-FENCE,DM-FOUND-FENCE-STD,CC-BFILL,80,Conditional,if local backfill required,True,
SI-FOUND-FENCE,DM-FOUND-FENCE-STD,CC-REINSTATE,90,Yes,none,True,
SI-FOUND-FENCE,DM-FOUND-FENCE-STD,CC-QA,100,Yes,none,True,
SI-FOUND-GEN,DM-FOUND-GEN-STD,CC-PRESTART,10,Yes,none,True,
SI-FOUND-GEN,DM-FOUND-GEN-STD,CC-LOCATE,20,Conditional,if assets within 2 m,True,
SI-FOUND-GEN,DM-FOUND-GEN-STD,CC-PROVE,30,Conditional,if assets within 2 m,True,
