functional_cluster,work_category,scope_item,delivery_method,cost_component,unit_normalized,rate_group,candidate_count,candidate_sources,retained_workbook,retained_sheet,retained_row,retained_rate,decision_reason,mapping_confidence
225mm reinforced concrete pipe up to 1.5m depth | soil,Drainage and Minor Civil Structures,Reinforced Concrete Drainage Line Installation,soil,Pipe Install,m,Provisional Sums,1,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r21 @ 268.42105263157896,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,21,268.421052631579,single candidate,Confirmed
300x300 electrical pit supply,Pits,Pit Works,,Pit Install / Supply,each,Materials,1,AARNet Pricebook.xlsx::AARnet Ratecard::r33 @ 835.0,AARNet Pricebook.xlsx,AARnet Ratecard,33,835,single candidate,Inferred
450x450 electrical pit supply,Pits,Pit Works,,Pit Install / Supply,each,Materials,1,AARNet Pricebook.xlsx::AARnet Ratecard::r28 @ 1230.0,AARNet Pricebook.xlsx,AARnet Ratecard,28,1230,single candidate,Inferred
75mm concrete paving,Drainage and Minor Civil Structures,Minor Civil Structure,unspecified,Minor Civils,m2,Provisional Sums,1,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r38 @ 326.3157894736842,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,38,326.3157894736842,single candidate,Confirmed
75mm hard standing,Pavements and Hardstand,Pavement / Hardstand,,Surface Install,m2,Provisional Sums,1,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r40 @ 379.4736842105264,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,40,379.4736842105264,single candidate,Confirmed
Additional shelter pier volume per m3,Foundations and Support Civils,Foundation / Slab Works,,Foundation or Slab,m3,Provisional Sums,1,NBN quote Master .xlsx::Sheet1::r41 @ 1214.350919896154,NBN quote Master .xlsx,Sheet1,41,1214.350919896154,single candidate,Confirmed
Additional shelter slab volume per m3,Foundations and Support Civils,Foundation / Slab Works,,Foundation or Slab,m3,Provisional Sums,3,NBN quote Master .xlsx::Sheet1::r39 @ 1078.7933806239132; Copy of Hazelwood North Amplitel Construction Quote Book 1 (004) 1.xlsx::ALL SORs::r7 @ 898.994483853261; Copy of Hazelwood North Amplitel Construction Quote Book 1 (004) 1.xlsx::ALL SORs::r7 @ 856.1852227173914,NBN quote Master .xlsx,Sheet1,39,1078.793380623913,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Confirmed
Additional underground pipe in existing trench >25mm,Drainage and Minor Civil Structures,Drainage / Pipe Install,additional-in-existing-trench,Pipe Install,m,Provisional Sums,4,Annexure 3 - GWM Price Response Template - Decon 20240815.xlsx::1 SoRs::r26 @ 20.0; Annexure 3 - GWM Price Response Template - Decon 20240815.xlsx::1 SoRs::r26 @ 20.0; Annexure 3 - GWM Price Response Template - Decon 20240815.xlsx::1 SoRs::r26 @ 20.0; Annexure 3 - GWM Price Response Template - Decon 20240815.xlsx::1 SoRs::r26 @ 20.0,Annexure 3 - GWM Price Response Template - Decon 20240815.xlsx,1 SoRs,26,20,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Confirmed
Asphalt reinstatement,Pavements and Hardstand,Local Reinstatement,asphalt,Local Reinstatement,m2,Provisional Sums,7,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r339 @ 435.0877192982456; NBN quote Master .xlsx::Sheet1::r89 @ 163.7056; Copy of Hazelwood North Amplitel Construction Quote Book 1 (004) 1.xlsx::ALL SORs::r92 @ 136.42133333333334; NBN quote Master .xlsx::Sheet1::r88 @ 129.81415384615383; Copy of Hazelwood North Amplitel Construction Quote Book 1 (004) 1.xlsx::ALL SORs::r92 @ 129.6; Copy of Hazelwood North Amplitel Construction Quote Book 1 (004) 1.xlsx::ALL SORs::r91 @ 108.17846153846152; Copy of Hazelwood North Amplitel Construction Quote Book 1 (004) 1.xlsx::ALL SORs::r91 @ 102.76923076923076,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,339,435.0877192982456,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Confirmed
Blinding layer,Foundations and Support Civils,Foundation / Slab Works,,Foundation or Slab,site,Materials,1,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r85 @ 1552.6315789473686,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,85,1552.631578947369,single candidate,Confirmed
Bored pier and pile cap formwork,Foundations and Support Civils,Foundation / Slab Works,,Foundation or Slab,m2,Provisional Sums,1,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r89 @ 1405.2631578947369,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,89,1405.263157894737,single candidate,Confirmed
Boring | p100 | rock,Earthworks and Reinstatement,Service Route Boring,rock,Boring,m,Provisional Sums,8,Supplier RTQ Pricing Template Kirstie-AO.xlsx::RATE BASED WORKS::r487 @ 1129.8245614035088; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r335 @ 982.4561403508771; Supplier RTQ Pricing Template Kirstie-AO.xlsx::RATE BASED WORKS::r480 @ 895.0631578947368; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r328 @ 778.3157894736843; Supplier RTQ Pricing Template Kirstie-AO.xlsx::RATE BASED WORKS::r407 @ 536.0902255639098; Supplier RTQ Pricing Template Kirstie-AO.xlsx::RATE BASED WORKS::r352 @ 498.452012383901; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r255 @ 466.1654135338346; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r200 @ 433.43653250774,Supplier RTQ Pricing Template Kirstie-AO.xlsx,RATE BASED WORKS,487,1129.824561403509,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Confirmed
Boring | p100 | rock,Earthworks and Reinstatement,Service Route Boring,rock,Boring,metre length of bore,Provisional Sums,3,NBN quote Master .xlsx::Sheet1::r97 @ 484.5684; Copy of Hazelwood North Amplitel Construction Quote Book 1 (004) 1.xlsx::ALL SORs::r100 @ 403.807; Copy of Hazelwood North Amplitel Construction Quote Book 1 (004) 1.xlsx::ALL SORs::r100 @ 383.6195,NBN quote Master .xlsx,Sheet1,97,484.5684,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Confirmed
Boring | p100 | unspecified,Earthworks and Reinstatement,Service Route Boring,unspecified,Boring,m,Provisional Sums,8,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r334 @ 589.4736842105264; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r327 @ 543.8947368421053; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r333 @ 533.3333333333334; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r326 @ 388.42105263157896; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r243 @ 375.9398496240602; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r232 @ 255.63909774436087; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r189 @ 208.97832817337465; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r178 @ 154.79876160990713,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,334,589.4736842105264,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Confirmed
Boring | p63 | rock,Earthworks and Reinstatement,Service Route Boring,rock,Boring,m,Provisional Sums,4,Supplier RTQ Pricing Template Kirstie-AO.xlsx::RATE BASED WORKS::r474 @ 581.0526315789474; Supplier RTQ Pricing Template Kirstie-AO.xlsx::RATE BASED WORKS::r463 @ 523.4799999999999; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r322 @ 505.2631578947369; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r311 @ 455.2,Supplier RTQ Pricing Template Kirstie-AO.xlsx,RATE BASED WORKS,474,581.0526315789474,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Confirmed
Boring | p63 | rock,Earthworks and Reinstatement,Service Route Boring,rock,Boring,metre length of bore,Provisional Sums,3,NBN quote Master .xlsx::Sheet1::r96 @ 445.0902; Copy of Hazelwood North Amplitel Construction Quote Book 1 (004) 1.xlsx::ALL SORs::r99 @ 370.9085; Copy of Hazelwood North Amplitel Construction Quote Book 1 (004) 1.xlsx::ALL SORs::r99 @ 352.3645,NBN quote Master .xlsx,Sheet1,96,445.0902,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Confirmed
Boring | p63 | unspecified,Earthworks and Reinstatement,Service Route Boring,unspecified,Boring,m,Provisional Sums,6,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r306 @ 360.9022556390978; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r319 @ 355.4; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r321 @ 336.8421052631579; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r295 @ 315.7894736842105; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r124 @ 193.49845201238392; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r113 @ 123.8390092879257,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,306,360.9022556390978,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Confirmed
CEV footing and pier construction,Foundations and Support Civils,Foundation / Slab Works,,Foundation or Slab,pier,Provisional Sums,1,AARNet Pricebook.xlsx::AARnet Ratecard::r9 @ 3277.38,AARNet Pricebook.xlsx,AARnet Ratecard,9,3277.38,single candidate,Inferred
Cement stabilised crushed rock,Earthworks and Reinstatement,Earthworks Core,,Earthworks,m3,Materials,2,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r55 @ 373.6842105263158; Andersons Hill-NSWTA-Decon Costs Draft.xlsx::Variation Cost Schedule::r47 @ 172.18599999999998,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,55,373.6842105263158,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Confirmed
Clearing and grubbing,Earthworks and Reinstatement,Earthworks Core,,Earthworks,m2,Provisional Sums,1,AARNet Pricebook.xlsx::AARnet Ratecard::r2 @ 4.94,AARNet Pricebook.xlsx,AARnet Ratecard,2,4.94,single candidate,Confirmed
Clearing vegetation / rubbish / shrub removal,Earthworks and Reinstatement,Earthworks Core,,Earthworks,m3,Provisional Sums,1,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r22 @ 231.57894736842107,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,22,231.5789473684211,single candidate,Confirmed
Compaction,Earthworks and Reinstatement,Earthworks Core,,Earthworks,day,Provisional Sums,2,Andersons Hill-NSWTA-Decon Costs Draft.xlsx::Variation Cost Schedule::r411 @ 1757.49; Andersons Hill-NSWTA-Decon Costs Draft.xlsx::Variation Cost Schedule::r440 @ 715.86,Andersons Hill-NSWTA-Decon Costs Draft.xlsx,Variation Cost Schedule,411,1757.49,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Confirmed
Compaction,Earthworks and Reinstatement,Earthworks Core,,Earthworks,m,Provisional Sums,2,Supplier RTQ Pricing Template Kirstie-AO.xlsx::RATE BASED WORKS::r594 @ 144.96052631578945; Andersons Hill-NSWTA-Decon Costs Draft.xlsx::Variation Cost Schedule::r313 @ 52.5447744546467,Supplier RTQ Pricing Template Kirstie-AO.xlsx,RATE BASED WORKS,594,144.9605263157895,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Confirmed
Compaction,Earthworks and Reinstatement,Earthworks Core,,Earthworks,m2,Provisional Sums,1,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r73 @ 226.31578947368425,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,73,226.3157894736842,single candidate,Confirmed
Compaction,Earthworks and Reinstatement,Earthworks Core,,Earthworks,site,Provisional Sums,1,Andersons Hill-NSWTA-Decon Costs Draft.xlsx::Variation Cost Schedule::r441 @ 1358.0,Andersons Hill-NSWTA-Decon Costs Draft.xlsx,Variation Cost Schedule,441,1358,single candidate,Confirmed
Compound fence relocation,Fencing and Access Control,Fencing and Gates,,Fence / Gate,m,Provisional Sums,1,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r67 @ 300.5263157894737,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,67,300.5263157894737,single candidate,Confirmed
Compound fence removal,Fencing and Access Control,Fencing and Gates,,Fence / Gate,m,Provisional Sums,1,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r66 @ 236.84210526315792,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,66,236.8421052631579,single candidate,Confirmed
Concrete reinstatement,Pavements and Hardstand,Local Reinstatement,concrete,Local Reinstatement,m2,Provisional Sums,2,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r340 @ 435.0877192982456; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r341 @ 108.359133126935,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,340,435.0877192982456,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Confirmed
Concrete slab/pad,Foundations and Support Civils,Foundation / Slab Works,,Foundation or Slab,m2,Provisional Sums,1,AARNet Pricebook.xlsx::AARnet Ratecard::r17 @ 698.61,AARNet Pricebook.xlsx,AARnet Ratecard,17,698.61,single candidate,Inferred
Concrete testing pier,Foundations and Support Civils,Foundation / Slab Works,,Foundation or Slab,site,Specialist Subcontract,1,AARNet Pricebook.xlsx::AARnet Ratecard::r16 @ 1560.0,AARNet Pricebook.xlsx,AARnet Ratecard,16,1560,single candidate,Confirmed
Concrete travel time,Foundations and Support Civils,Foundation / Slab Works,,Foundation or Slab,minute,Freight / Haulage,1,AARNet Pricebook.xlsx::AARnet Ratecard::r14 @ 3.96,AARNet Pricebook.xlsx,AARnet Ratecard,14,3.96,single candidate,Confirmed
Constructability attendance,Preliminaries and Controls,Preliminaries and Controls,,Pre-start / Controls,site,Preliminaries,2,Supplier RTQ Pricing Template Kirstie-AO.xlsx::RATE BASED WORKS::r7 @ 1258.95; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r5 @ 1094.7368421052631,Supplier RTQ Pricing Template Kirstie-AO.xlsx,RATE BASED WORKS,7,1258.95,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Confirmed
Construction safety report / SWMS,Preliminaries and Controls,Preliminaries and Controls,,Pre-start / Controls,site,Preliminaries,1,Andersons Hill-NSWTA-Decon Costs Draft.xlsx::Variation Cost Schedule::r9 @ 1178.4831116896448,Andersons Hill-NSWTA-Decon Costs Draft.xlsx,Variation Cost Schedule,9,1178.483111689645,single candidate,Confirmed
Crushed rock base,Earthworks and Reinstatement,Earthworks Core,,Earthworks,m3,Materials,2,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r54 @ 310.6842105263158; Andersons Hill-NSWTA-Decon Costs Draft.xlsx::Variation Cost Schedule::r46 @ 160.32443871848596,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,54,310.6842105263158,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Confirmed
Dilapidation surveys,Preliminaries and Controls,Preliminaries and Controls,,Pre-start / Controls,site,Preliminaries,1,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r8 @ 4000.0,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,8,4000,single candidate,Confirmed
Double gate barb top 32 NB,Fencing and Access Control,Fencing and Gates,,Fence / Gate,each,Provisional Sums,1,AARNet Pricebook.xlsx::AARnet Ratecard::r72 @ 1800.0,AARNet Pricebook.xlsx,AARnet Ratecard,72,1800,single candidate,Confirmed
Double vehicular crossing | rock,Drainage and Minor Civil Structures,Minor Civil Structure,rock,Minor Civils,each,Provisional Sums,2,Supplier RTQ Pricing Template Kirstie-AO.xlsx::RATE BASED WORKS::r80 @ 10865.563157894738; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r37 @ 9448.315789473683,Supplier RTQ Pricing Template Kirstie-AO.xlsx,RATE BASED WORKS,80,10865.56315789474,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Confirmed
Double vehicular crossing | shale,Drainage and Minor Civil Structures,Minor Civil Structure,shale,Minor Civils,each,Provisional Sums,2,Supplier RTQ Pricing Template Kirstie-AO.xlsx::RATE BASED WORKS::r79 @ 8068.4; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r36 @ 7016.0,Supplier RTQ Pricing Template Kirstie-AO.xlsx,RATE BASED WORKS,79,8068.4,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Confirmed
Double vehicular crossing | soil,Drainage and Minor Civil Structures,Minor Civil Structure,soil,Minor Civils,each,Provisional Sums,2,Supplier RTQ Pricing Template Kirstie-AO.xlsx::RATE BASED WORKS::r78 @ 7713.473684210526; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r35 @ 6707.368421052632,Supplier RTQ Pricing Template Kirstie-AO.xlsx,RATE BASED WORKS,78,7713.473684210526,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Confirmed
Drill pier holes and install cages,Foundations and Support Civils,Foundation / Slab Works,,Foundation or Slab,pier,Provisional Sums,1,AARNet Pricebook.xlsx::AARnet Ratecard::r12 @ 1116.25,AARNet Pricebook.xlsx,AARnet Ratecard,12,1116.25,single candidate,Inferred
Driveway labour,Pavements and Hardstand,Pavement / Hardstand,,Surface Install,site,Labour,1,AARNet Pricebook.xlsx::AARnet Ratecard::r45 @ 78.83,AARNet Pricebook.xlsx,AARnet Ratecard,45,78.83,single candidate,Inferred
Driveway topping crossover,Pavements and Hardstand,Pavement / Hardstand,,Surface Install,m2,Provisional Sums,1,AARNet Pricebook.xlsx::AARnet Ratecard::r39 @ 36.1,AARNet Pricebook.xlsx,AARnet Ratecard,39,36.1,single candidate,Inferred
Dust control,Environmental and Traffic Overlays,Environmental / Traffic Overlay,,Overlay,day,Overlays,1,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r79 @ 3026.315789473684,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,79,3026.315789473684,single candidate,Confirmed
Ecological inspection,Preliminaries and Controls,Preliminaries and Controls,,Pre-start / Controls,site,Preliminaries,2,Supplier RTQ Pricing Template Kirstie-AO.xlsx::RATE BASED WORKS::r9 @ 3873.684210526316; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r7 @ 3368.421052631579,Supplier RTQ Pricing Template Kirstie-AO.xlsx,RATE BASED WORKS,9,3873.684210526316,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Confirmed
Engineer sign-off pier,Foundations and Support Civils,Foundation / Slab Works,,Foundation or Slab,pier,Specialist Subcontract,1,AARNet Pricebook.xlsx::AARnet Ratecard::r15 @ 1100.0,AARNet Pricebook.xlsx,AARnet Ratecard,15,1100,single candidate,Confirmed
Engineering final inspection,Preliminaries and Controls,Preliminaries and Controls,,Pre-start / Controls,site,Preliminaries,1,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r3 @ 5052.631578947368,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,3,5052.631578947368,single candidate,Confirmed
Excavation and removal of rock,Earthworks and Reinstatement,Earthworks Core,,Earthworks,m3,Provisional Sums,2,Andersons Hill-NSWTA-Decon Costs Draft.xlsx::Variation Cost Schedule::r26 @ 366.062502811938; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r63 @ 217.1052631578948,Andersons Hill-NSWTA-Decon Costs Draft.xlsx,Variation Cost Schedule,26,366.062502811938,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Confirmed
Excavation and removal of soil offsite,Earthworks and Reinstatement,Earthworks Core,,Earthworks,m3,Disposal,1,Supplier RTQ Pricing Template Kirstie-AO.xlsx::RATE BASED WORKS::r57 @ 305.26,Supplier RTQ Pricing Template Kirstie-AO.xlsx,RATE BASED WORKS,57,305.26,single candidate,Confirmed
Expansion joint to concrete paving,Drainage and Minor Civil Structures,Minor Civil Structure,unspecified,Minor Civils,m,Provisional Sums,1,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r39 @ 257.89473684210526,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,39,257.8947368421053,single candidate,Confirmed
Fix holding down bolts,Foundations and Support Civils,Foundation / Slab Works,,Foundation or Slab,each,Provisional Sums,2,Supplier RTQ Pricing Template Kirstie-AO.xlsx::RATE BASED WORKS::r130 @ 1162.1052631578948; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r88 @ 1010.5263157894738,Supplier RTQ Pricing Template Kirstie-AO.xlsx,RATE BASED WORKS,130,1162.105263157895,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Confirmed
Foundation materials formtube/grout/anchors,Foundations and Support Civils,Foundation / Slab Works,,Foundation or Slab,pier,Materials,1,AARNet Pricebook.xlsx::AARnet Ratecard::r10 @ 236.88,AARNet Pricebook.xlsx,AARnet Ratecard,10,236.88,single candidate,Confirmed
Generic pit civils,Pits,Pit Works,,Pit Install / Supply,each,Provisional Sums,17,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r363 @ 5420.0; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r369 @ 4210.526315789474; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r361 @ 4210.526315789474; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r360 @ 4210.526315789474; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r362 @ 4210.526315789474; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r370 @ 4210.526315789474; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r368 @ 3388.792569659443; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r359 @ 3363.684210526316; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r367 @ 2600.944272445821; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r358 @ 2600.944272445821; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r366 @ 2409.5356037151705; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r357 @ 2106.315789473684; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r298 @ 1842.1052631578948; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r488 @ 1705.882352941179; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r297 @ 1684.2105263157896; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r365 @ 1483.2817337461302; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r356 @ 949.4736842105264,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,363,5420,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Inferred
Gravel supply and place,Earthworks and Reinstatement,Earthworks Core,,Earthworks,m2,Materials,4,Supplier RTQ Pricing Template Kirstie-AO.xlsx::RATE BASED WORKS::r104 @ 321.69736842105266; VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r62 @ 279.7368421052632; AARNet Pricebook.xlsx::AARnet Ratecard::r40 @ 113.0; Andersons Hill-NSWTA-Decon Costs Draft.xlsx::Variation Cost Schedule::r77 @ 33.81176410915703,Supplier RTQ Pricing Template Kirstie-AO.xlsx,RATE BASED WORKS,104,321.6973684210527,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Inferred
Hardstand layer install,Pavements and Hardstand,Pavement / Hardstand,,Surface Install,m2,Provisional Sums,1,Supplier RTQ Pricing Template Kirstie-AO.xlsx::RATE BASED WORKS::r83 @ 436.39473684210526,Supplier RTQ Pricing Template Kirstie-AO.xlsx,RATE BASED WORKS,83,436.3947368421053,single candidate,Confirmed
Hay bale barriers,Environmental and Traffic Overlays,Environmental / Traffic Overlay,,Overlay,each,Overlays,1,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r78 @ 134.73684210526315,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,78,134.7368421052632,single candidate,Confirmed
J8 concrete pit supply,Pits,Pit Works,,Pit Install / Supply,each,Materials,1,AARNet Pricebook.xlsx::AARnet Ratecard::r31 @ 1326.67,AARNet Pricebook.xlsx,AARnet Ratecard,31,1326.67,single candidate,Inferred
